"Bischoff_2a_P5","Thu Nov 23 16:24:57 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,600,7201,200,3900,7101,2000,0,0,54860,700,4000,900,300,3100,700,100,200,900,200,0,0,0,0,0,0,700,16005,9902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0
1.04,600,6101,100,5101,6201,1900,0,100,51954,1300,4500,1000,500,2300,1000,0,100,1000,100,0,100,0,100,0,0,900,11002,66990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0
1.56,600,7701,200,3500,7401,1500,0,200,53156,700,4000,1000,200,2700,1300,300,0,600,200,0,0,0,0,0,0,300,9602,77721,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,300,0,0
2.09,700,6301,400,3400,6701,2100,0,100,50651,1200,5101,1800,100,2400,1200,200,0,300,200,100,0,0,0,0,0,0,89761,55562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
2.61,1100,6601,700,3600,6701,1200,0,100,51252,700,3700,1300,200,2200,800,100,0,1000,0,100,0,0,0,0,0,0,14404,21810,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
3.13,900,7801,300,5101,8001,1700,0,200,56464,800,3600,500,400,2600,1600,200,0,1200,200,0,0,0,0,0,0,2200,16606,28516,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0
3.65,400,6401,100,3700,7101,2300,0,100,49349,800,3700,1200,200,2700,1400,200,0,300,200,0,0,0,0,0,0,100,61175,69496,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,0
4.17,600,6501,0,3600,7201,1300,0,0,55261,1000,6001,1500,300,2800,900,300,0,1000,300,0,0,0,0,0,0,100,2300,128429,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0
4.69,800,7101,100,4900,7801,2000,0,100,53357,600,4500,800,700,3100,700,200,0,1200,100,100,0,0,0,0,0,0,5801,29317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.21,500,7301,100,4500,7201,800,0,100,52956,1200,4600,1200,600,1400,1500,0,100,1000,100,0,0,0,100,0,0,600,28516,24812,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0
5.74,500,7101,100,4300,7301,1400,0,0,56363,800,4000,1000,400,2100,900,300,0,1000,100,0,0,0,0,0,0,0,8501,91467,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.26,800,6601,300,4300,7601,1100,100,100,54559,800,4400,1100,300,2600,800,300,0,1000,300,0,0,0,0,0,0,200,28216,12803,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0
6.78,500,7201,300,4200,6501,1500,0,0,53357,1200,4500,1100,500,2300,1600,100,100,500,0,0,0,0,0,0,0,1200,0,17006,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,1200,0,0
