"Bischoff_2a_T4","Thu Nov 23 15:59:18 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,300,7301,600,3900,8902,2300,100,100,63781,1100,5101,1500,500,1900,1400,200,200,1200,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,600,6801,1000,4700,7501,1500,0,0,65185,1200,5000,1900,300,2400,1100,100,0,1200,200,0,100,0,0,0,0,2000,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0
1.56,1000,6201,200,5101,7501,1200,0,0,67391,900,5501,1700,100,2700,900,0,0,900,300,0,0,0,0,0,0,0,0,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09,600,5601,300,4400,7301,1900,0,100,65686,1500,5201,1500,300,1700,900,0,100,1200,0,100,0,0,0,0,0,0,100,200,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2.61,1200,6501,300,5401,8501,2200,0,100,66488,1300,4100,1100,400,3200,1300,200,0,300,0,100,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
3.13,1100,7201,500,5501,8501,700,0,0,66087,1300,5201,500,600,2700,1100,200,0,900,300,200,0,0,0,0,0,0,100,200,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0
3.65,900,6201,500,3800,8601,1500,0,0,63681,1000,5601,1200,100,2800,1000,100,100,900,200,200,0,0,0,0,0,0,5401,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,600,6501,200,4500,8201,1800,0,200,60874,800,4700,1200,400,3300,1100,100,100,700,0,0,0,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.69,900,5801,0,4700,8902,1500,0,0,63681,700,5201,600,400,2400,500,0,0,800,300,100,0,0,0,0,0,100,3400,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
5.21,600,6701,300,5501,9102,2000,0,100,64784,1200,4500,1500,300,2000,1400,0,0,1000,200,0,100,0,0,0,0,0,0,14204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
