"NIST 610-2","Thu Nov 23 15:01:23 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,900,7501,700,3400,8101,1800,0,100,59872,1000,4800,900,500,2300,1800,100,0,500,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,500,6301,300,4100,6401,1200,0,0,57466,1300,4300,1300,200,2600,900,0,0,1000,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0
1.56,700,6301,500,2800,6701,2200,0,100,66188,600,4600,1400,300,2900,1000,200,0,900,0,100,100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,300,0,0,0,0,0,100,0,0,0,0,0
2.08,1000,7301,500,3800,7301,1700,0,0,66087,900,6301,1700,0,2200,1700,100,0,700,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0
2.61,700,6601,400,3800,7901,1200,0,0,66288,1200,4900,500,600,2300,1400,100,0,700,100,100,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0
3.13,700,7901,100,3500,6801,2100,0,0,60373,1100,5201,1200,100,2300,1000,0,100,1200,300,0,0,0,0,0,0,0,0,200,100,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
3.65,800,7801,400,4700,9802,1700,0,100,60172,1200,5201,1200,400,1300,900,100,0,700,200,100,0,0,0,0,0,0,100,200,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,200,0
4.17,700,7301,700,2500,8401,1600,0,0,58869,900,4500,800,200,2000,500,100,0,1300,200,100,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
4.69,400,7101,200,2100,7201,2400,0,100,58869,1200,5401,1200,100,1400,1100,0,0,700,100,100,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,100,100,0,0
5.21,500,6101,300,3300,6701,1200,0,0,57266,900,4400,600,400,3400,900,0,300,800,0,0,100,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
5.73,400,7701,300,3400,8201,2200,0,0,63781,800,6501,600,400,2800,700,200,100,1800,300,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0
