"NIST610-6","Thu Nov 23 17:15:15 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,1500,8601,300,4100,7501,1200,0,100,48547,1200,4000,1400,400,2500,2000,200,0,800,200,400,300,100,0,0,0,200,0,200,300,0,400,300,100,0,300,100,200,100,0,0,500,0,100,700,0,200,0,700
1.04,500,8201,300,4100,6201,1100,0,0,46744,800,3900,900,500,1600,700,300,0,600,100,100,100,0,0,100,0,200,100,200,100,200,500,200,100,0,100,0,100,100,200,0,0,0,100,600,0,200,0,600
1.56,900,6801,300,3100,5701,1300,100,100,49349,1200,4300,1400,600,2500,1200,500,0,900,100,300,200,0,100,100,0,100,200,100,200,200,100,700,0,0,300,100,400,0,100,100,300,100,100,300,0,100,0,300
2.08,500,6401,400,3400,6801,1200,0,200,47445,700,4100,1500,500,2100,1600,200,100,900,100,0,300,500,0,300,0,500,0,100,200,100,200,200,0,0,0,200,600,0,0,0,400,0,0,100,0,500,0,100
2.60,500,7201,100,4000,7601,2600,0,300,47846,700,3500,900,300,2700,1300,100,100,800,0,300,100,500,100,200,0,600,100,200,200,100,200,200,0,0,200,0,300,100,200,100,500,300,0,500,0,600,0,500
3.13,500,7301,300,4100,7001,800,0,0,49749,1000,3500,500,400,2000,1600,200,100,500,400,0,200,100,0,400,0,300,0,0,100,300,200,200,0,0,200,0,100,0,0,300,300,0,0,0,0,300,0,0
3.65,1000,8101,300,4100,5201,1400,0,200,46042,800,4500,1000,600,3200,900,100,100,900,200,100,100,100,200,200,0,100,0,0,0,100,200,100,0,0,100,0,0,0,0,200,400,0,0,200,0,100,0,200
4.17,700,7201,200,3600,5801,1500,100,200,49148,900,4500,600,100,1900,1500,0,0,2100,100,0,0,100,100,100,0,100,200,100,100,100,300,200,0,100,100,100,500,100,0,100,100,100,0,200,0,100,100,200
4.69,900,7601,600,3900,6101,1600,0,0,48347,1300,3000,900,600,2300,1300,0,0,1300,200,0,300,200,0,100,0,200,300,100,100,0,400,300,0,0,100,100,100,0,0,0,200,100,0,400,0,200,0,400
5.21,900,7001,500,3400,5401,2200,0,200,47345,600,3800,1200,100,2800,1600,0,0,1200,0,600,0,500,0,200,0,0,0,0,0,100,400,200,0,0,300,0,0,0,100,100,300,0,0,100,0,0,0,100
5.73,500,9602,300,4000,6001,1900,0,100,45041,1100,3200,900,200,2200,700,0,0,600,200,0,100,100,0,0,0,200,0,200,400,100,200,100,100,200,100,0,200,0,0,200,0,100,100,600,0,200,200,600
