GLITTER4.4.4: Laser Ablation Analysis Results

\\shares.ad.jcu.edu.au\ri\AAC_General\ICP\TraceCassiterite_Jason23-11-17.msws Iso.prn
Created: Thu Nov 23 18:08:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Li7,48.49,48.08,44.51,495.49,482.86,475.69,<0.87,<0.61,4.22,<0.78,9.12,<0.96,<0.97,<0.90,<1.00,0.92,<1.02,<1.03,<0.89,<1.04,<1.05,<0.99,<1.03,<0.81,<1.07,<1.00,<1.07,<0.83,<1.01,51.27,43.95,47.28,503.24,477.49,477.19
Al27,13935.90,13749.62,12791.98,11041.25,10738.43,10592.97,186.68,241.68,2274.21,28.04,4405.86,63.83,180.81,201.56,177.75,11.24,105.99,114.83,14.80,33.98,68.38,84.29,78.02,27.21,12.09,9.88,20.79,99.59,<3.33,11142.42,6402.54,10056.44,11180.82,10643.95,10631.50
Si29,396269.81,391336.31,368649.31,338758.59,324853.22,317097.13,<2684.02,1911.70,7350.06,2561.46,9965.18,<2757.20,<2683.02,<2604.66,<2660.52,<2517.25,<2925.46,<2863.95,4272.03,<2792.01,<2726.88,<2904.65,<2649.00,<2149.57,<2858.12,<2763.16,<2823.34,3338.29,<2779.83,433930.16,367380.13,396488.19,347733.03,321664.53,316012.66
S33,838.32,917.68,798.48,716.20,695.92,667.05,502.37,647.89,237.76,385.22,480.46,613.44,617.39,579.90,533.06,569.79,541.45,587.68,553.20,515.68,560.96,493.97,500.91,594.93,514.37,533.99,573.77,483.67,513.06,519.54,423.22,410.53,724.52,695.70,667.97
Ca44,103045.74,101187.48,94090.64,84873.62,81909.09,79689.51,<36.34,<24.62,87.83,<31.01,<29.86,<39.14,<37.48,<35.79,<36.87,<36.00,<38.05,<38.63,<31.89,<39.09,<38.03,<35.90,<37.53,<29.73,<39.00,<36.63,<38.89,<30.02,<35.72,104593.42,86427.83,96691.63,86631.90,80974.74,79951.96
Sc45,46.54,46.15,42.35,458.05,438.42,426.09,371.15,544.80,229.54,42.18,248.11,102.19,396.28,430.38,476.66,38.64,38.72,72.20,98.99,566.49,868.64,1014.52,1034.14,6.47,5.97,20.52,30.57,87.57,11.22,46.97,39.64,42.61,466.13,435.70,426.86
Ti49,44.25,44.50,39.11,447.08,431.41,421.99,447.35,257.90,285.85,64.64,82.24,150.30,15.92,13.09,170.78,1023.18,120.34,123.28,215.97,5.46,10.95,17.03,29.77,474.39,481.74,165.74,39.40,145.79,567.85,46.98,39.31,42.93,461.94,426.22,418.93
V51,45.67,44.33,40.74,454.81,438.36,431.83,35.70,21.87,29.57,1.16,4.32,4.86,0.105,<0.099,<0.110,126.70,0.752,2.83,41.79,0.305,<0.133,<0.086,<0.086,16.55,18.80,5.17,0.383,<0.089,101.68,46.98,39.59,42.94,466.52,436.20,428.46
Cr52,32.28,38.30,35.11,415.67,400.04,398.55,<4.15,<2.80,<4.41,<3.56,<3.37,<4.49,<4.19,<4.18,<4.26,<4.16,<4.35,<4.41,<3.71,<4.33,<4.33,<4.03,<4.18,<3.31,<4.32,<4.16,<4.41,<3.33,<4.06,38.57,37.74,39.61,424.15,397.71,396.60
Cr53,40.47,39.19,34.55,419.82,400.56,393.67,<4.22,<2.97,5.32,<3.81,<3.61,<4.64,<4.54,<4.55,<4.77,<4.59,<4.70,<4.54,<3.95,<4.94,<4.74,<4.57,<4.58,<3.71,<4.88,<4.72,<4.78,<3.83,6.61,43.50,37.20,41.85,426.50,398.82,393.45
