Sample	Fe
NIST612_1	0.0051
NIST610_1	0.0458
NIST610_2	0.0458
NIST612_2	0.0051
BT_main_1	0.064452
BT_main_2	0.083115
BT_main_3	0.0244875
BT_main_4	0.021821
BT_main_5	0.019624
BT_main_6	0.066215
NIST610_3	0.0458
NIST612_3	0.0051
BT_main_7	0.1657555
BT_main_8	0.042449333
BT_main_9	0.015214
BT_main_10	0.019794
BT_main_11	0.0350545
BT_main_12	0.025674667
NIST610_4	0.0458
NIST612_4	0.0051
BT_main_13	0.019979
BT_main_14	0.031836333
BT_main_15	0.037815
BT_main_16	0.042914
BT_main_17	0.026801
BT_main_18	0.016952333
NIST610_5	0.0458
NIST612_5	0.0051
BT_main_19	0.01829
BT_main_20	0.044767667
BT_main_21	0.047952
BT_main_22	0.101817
BT_main_23	0.019563
BT_main_24	0.026763333
NIST610_6	0.0458
NIST612_6	0.0051
BT_main_25	0.0357285
BT_main_26	0.031586667
BT_main_27	0.0378865
BT_main_28	0.024894
BT_main_29	0.0134005
BT_main_30	0.036313
NIST610_7	0.0458
NIST612_7	0.0051
BT_main_31	0.027545333
BT_main_32	0.0417365
BT_main_33	0.027509333
BT_main_34	0.0240935
BT_main_35	0.047127
BT_main_36	0.036408
BT_main_37	0.0349095
NIST610_8	0.0458
NIST612_8	0.0051
BT_main_38	0.029144
BT_main_39	0.035065
BT_main_40	0.0360735
BT_main_41	0.034974667
BT_main_42	0.038348
BT_main_43	0.042895667
BT_main_44	0.0607415
NIST610_9	0.0458
NIST612_9	0.0051
BT_main_45	0.048676
BT_main_46	0.034353667
BT_main_47	0.0373465
BT_main_48	0.039448
BT_main_49	0.0462385
BT_main_50	0.043396333
BT_main_51	0.046923
NIST610_10	0.0458
NIST612_10	0.0051
BT_main_52	0.037004
BT_main_53	0.060979
BT_main_54	0.066387
BT_main_55	0.0430735
BT_main_56	0.062873667
BT_main_57	0.0416505
BT_main_58	0.049144667
NIST610_11	0.0458
NIST612_11	0.0051
BT_main_59	0.0633395
BT_main_60	0.051408667
BT_main_61	0.0528435
BT_main_62	0.039143667
BT_main_63	0.0535955
BT_main_64	0.041621667
BT_main_65	0.054986
NIST610_12	0.0458
NIST612_12	0.0051
BT_main_66	0.0406865
BT_main_67	0.059383333
BT_main_68	0.0389695
BT_main_69	0.064124
BT_main_70	0.059436
BT_main_71	0.053096
BT_main_72	0.0431855
NIST610_13	0.0458
NIST612_13	0.0051
BT_main_73	0.053091333
BT_main_74	0.071782
BT_main_75	0.070692
BT_main_76	0.0478875
BT_main_77	0.0442915
BT_main_78	0.052916
BT_main_79	0.034903
NIST610_14	0.0458
NIST612_14	0.0051
BT_main_80	0.046705333
BT_main_81	0.0533815
BT_main_82	0.0640825
BT_main_83	0.050038
BT_main_84	0.060245
BT_main_85	0.0689
BT_main_86	0.0525675
NIST610_15	0.0458
NIST612_15	0.0051
BT_main_87	0.116962667
BT_main_88	0.082222
BT_main_89	0.059355333
BT_main_90	0.056079
BT_main_91	0.059736
BT_main_92	0.060902333
BT_main_93	0.059414
BT_main_94	0.101177667
NIST610_16	0.0458
NIST612_16	0.0051
BT_main_95	0.1305545
BT_main_96	0.058842667
BT_main_97	0.0578615
BT_main_98	0.082052333
BT_main_99	0.123113
BT_main_100	0.0616785
BT_main_101	0.061749
BT_main_102	0.064717667
NIST610_17	0.0458
NIST612_17	0.0051
BT_main_103	0.0601425
BT_main_104	0.074854
BT_main_105	0.076994
BT_main_106	0.084166667
BT_main_107	0.1084465
BT_main_108	0.077093
BT_main_109	0.092246667
BT_main_110	0.0809775
BT_main_111	0.100662333
BT_main_112	0.110318
BT_main_113	0.120976333
BT_main_114	0.110032
BT_main_115	0.059882
BT_main_116	0.055891333
BT_main_117	0.095215
BT_main_118	0.064698333
NIST610_18	0.0458
NIST612_18	0.0051
NIST610_19	0.0458
NIST612_19	0.0051
