Sample	Sn
NIST612_1	0.00386
NIST610_1	0.043
NIST610_2	0.043
NIST612_2	0.00386
BT_main_1	78.76496534
BT_main_2	78.76496534
BT_main_3	78.76496534
BT_main_4	78.76496534
BT_main_5	78.76496534
BT_main_6	78.76496534
NIST610_3	0.043
NIST612_3	0.00386
BT_main_7	78.76496534
BT_main_8	78.76496534
BT_main_9	78.76496534
BT_main_10	78.76496534
BT_main_11	78.76496534
BT_main_12	78.76496534
NIST610_4	0.043
NIST612_4	0.00386
BT_main_13	78.76496534
BT_main_14	78.76496534
BT_main_15	78.76496534
BT_main_16	78.76496534
BT_main_17	78.76496534
BT_main_18	78.76496534
NIST610_5	0.043
NIST612_5	0.00386
BT_main_19	78.76496534
BT_main_20	78.76496534
BT_main_21	78.76496534
BT_main_22	78.76496534
BT_main_23	78.76496534
BT_main_24	78.76496534
NIST610_6	0.043
NIST612_6	0.00386
BT_main_25	78.76496534
BT_main_26	78.76496534
BT_main_27	78.76496534
BT_main_28	78.76496534
BT_main_29	78.76496534
BT_main_30	78.76496534
NIST610_7	0.043
NIST612_7	0.00386
BT_main_31	78.76496534
BT_main_32	78.76496534
BT_main_33	78.76496534
BT_main_34	78.76496534
BT_main_35	78.76496534
BT_main_36	78.76496534
BT_main_37	78.76496534
NIST610_8	0.043
NIST612_8	0.00386
BT_main_38	78.76496534
BT_main_39	78.76496534
BT_main_40	78.76496534
BT_main_41	78.76496534
BT_main_42	78.76496534
BT_main_43	78.76496534
BT_main_44	78.76496534
NIST610_9	0.043
NIST612_9	0.00386
BT_main_45	78.76496534
BT_main_46	78.76496534
BT_main_47	78.76496534
BT_main_48	78.76496534
BT_main_49	78.76496534
BT_main_50	78.76496534
BT_main_51	78.76496534
NIST610_10	0.043
NIST612_10	0.00386
BT_main_52	78.76496534
BT_main_53	78.76496534
BT_main_54	78.76496534
BT_main_55	78.76496534
BT_main_56	78.76496534
BT_main_57	78.76496534
BT_main_58	78.76496534
NIST610_11	0.043
NIST612_11	0.00386
BT_main_59	78.76496534
BT_main_60	78.76496534
BT_main_61	78.76496534
BT_main_62	78.76496534
BT_main_63	78.76496534
BT_main_64	78.76496534
BT_main_65	78.76496534
NIST610_12	0.043
NIST612_12	0.00386
BT_main_66	78.76496534
BT_main_67	78.76496534
BT_main_68	78.76496534
BT_main_69	78.76496534
BT_main_70	78.76496534
BT_main_71	78.76496534
BT_main_72	78.76496534
NIST610_13	0.043
NIST612_13	0.00386
BT_main_73	78.76496534
BT_main_74	78.76496534
BT_main_75	78.76496534
BT_main_76	78.76496534
BT_main_77	78.76496534
BT_main_78	78.76496534
BT_main_79	78.76496534
NIST610_14	0.043
NIST612_14	0.00386
BT_main_80	78.76496534
BT_main_81	78.76496534
BT_main_82	78.76496534
BT_main_83	78.76496534
BT_main_84	78.76496534
BT_main_85	78.76496534
BT_main_86	78.76496534
NIST610_15	0.043
NIST612_15	0.00386
BT_main_87	78.76496534
BT_main_88	78.76496534
BT_main_89	78.76496534
BT_main_90	78.76496534
BT_main_91	78.76496534
BT_main_92	78.76496534
BT_main_93	78.76496534
BT_main_94	78.76496534
NIST610_16	0.043
NIST612_16	0.00386
BT_main_95	78.76496534
BT_main_96	78.76496534
BT_main_97	78.76496534
BT_main_98	78.76496534
BT_main_99	78.76496534
BT_main_100	78.76496534
BT_main_101	78.76496534
BT_main_102	78.76496534
NIST610_17	0.043
NIST612_17	0.00386
BT_main_103	78.76496534
BT_main_104	78.76496534
BT_main_105	78.76496534
BT_main_106	78.76496534
BT_main_107	78.76496534
BT_main_108	78.76496534
BT_main_109	78.76496534
BT_main_110	78.76496534
NIST610_18	0.043
NIST612_18	0.00386
BT_main_111	78.76496534
BT_main_112	78.76496534
BT_main_113	78.76496534
BT_main_114	78.76496534
BT_main_115	78.76496534
BT_main_116	78.76496534
BT_main_117	78.76496534
BT_main_118	78.76496534
NIST610_19	0.043
NIST612_19	0.00386
