Order	Sample	Sn	Fe	
1	NIST612_1	0.00386	0.0051	
2	NIST610_1	0.043	0.0458	
3	NIST612_2	0.00386	0.0051	
4	NIST610_2	0.043	0.0458	
5	CS12_Beechworth_C2_1	78.76496534		
6	CS12_Beechworth_C2_2	78.76496534		
7	CS12_Beechworth_C2_3	78.76496534		
8	CS12_Beechworth_C2_4	78.76496534		
9	CS12_Beechworth_C2_5	78.76496534		
10	CS12_Beechworth_C2_6	78.76496534		
11	NIST612_3	0.00386	0.0051	
12	NIST610_3	0.043	0.0458	
13	CS12_Beechworth_C2_7	78.76496534		
14	CS12_Beechworth_C2_8	78.76496534		
15	CS12_Beechworth_C2_9	78.76496534		
16	CS12_Beechworth_C2_10	78.76496534		
17	CS12_Beechworth_C2_11	78.76496534		
18	CS12_Beechworth_C2_12	78.76496534		
19	NIST612_4	0.00386	0.0051	
20	NIST610_4	0.043	0.0458	
21	CS12_Beechworth_C2_13	78.76496534		
22	CS12_Beechworth_C2_14	78.76496534		
23	CS12_Beechworth_C2_15	78.76496534		
24	CS12_Beechworth_C2_16	78.76496534		
25	CS12_Beechworth_C2_17	78.76496534		
26	CS12_Beechworth_C2_18	78.76496534		
27	NIST612_5	0.00386	0.0051	
28	NIST610_5	0.043	0.0458	
29	CS12_Beechworth_C2_19	78.76496534		
30	CS12_Beechworth_C2_20	78.76496534		
31	CS12_Beechworth_C2_21	78.76496534		
32	CS13_Saltwater_E1_1	78.76496534		
33	CS13_Saltwater_E1_2	78.76496534		
34	CS13_Saltwater_E1_3	78.76496534		
35	NIST612_6	0.00386	0.0051	
36	NIST610_6	0.043	0.0458	
37	CS13_Saltwater_E1_4	78.76496534		
38	CS13_Saltwater_E1_5	78.76496534		
39	CS13_Saltwater_E1_6	78.76496534		
40	CS13_Saltwater_E1_7	78.76496534		
41	CS13_Saltwater_E1_8	78.76496534		
42	CS13_Saltwater_E1_9	78.76496534		
43	CS13_Saltwater_E1_10	78.76496534		
44	NIST612_7	0.00386	0.0051	
45	NIST610_7	0.043	0.0458	
46	CS13_Saltwater_E1_11	78.76496534		
47	CS13_Saltwater_E1_12	78.76496534		
48	CS13_Saltwater_E1_13	78.76496534		
49	CS13_Saltwater_E1_14	78.76496534		
50	CS13_Saltwater_E1_15	78.76496534		
51	CS13_Saltwater_E1_16	78.76496534		
52	CS13_Saltwater_E1_17	78.76496534		
53	NIST612_8	0.00386	0.0051	
54	NIST610_8	0.043	0.0458	
55	CS13_Saltwater_E1_18	78.76496534		
56	CS13_Saltwater_E1_19	78.76496534		
57	CS13_Saltwater_E1_20	78.76496534		
58	CS13_Saltwater_E1_21	78.76496534		
59	CS13_Saltwater_E1_22	78.76496534		
60	CS13_Saltwater_E1_23	78.76496534		
61	NIST612_9	0.00386	0.0051	
62	NIST610_9	0.043	0.0458	
63	CS13_Goias_D3_1	78.76496534		
64	CS13_Goias_D3_2	78.76496534		
65	CS13_Goias_D3_3	78.76496534		
66	CS13_Goias_D3_4	78.76496534		
67	CS13_Goias_D3_5	78.76496534		
68	CS13_Goias_D3_6	78.76496534		
69	CS13_Goias_D3_7	78.76496534		
70	NIST612_10	0.00386	0.0051	
71	NIST610_10	0.043	0.0458	
72	CS13_Goias_D3_8	78.76496534		
73	CS13_Goias_D3_9	78.76496534		
74	CS12_Goias_D3_10	78.76496534		
75	CS12_Goias_D3_11	78.76496534		
76	CS12_Goias_D3_12	78.76496534		
77	CS12_Goias_D3_13	78.76496534		
78	CS12_Goias_D3_14	78.76496534		
79	NIST612_11	0.00386	0.0051	
