	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Ti49_CPS	Ti49_CPS_Int2SE	Al27_CPS	Al27_CPS_Int2SE	S33_CPS	S33_CPS_Int2SE	Sc45_CPS	Sc45_CPS_Int2SE	V51_CPS	V51_CPS_Int2SE	Mn55_CPS	Mn55_CPS_Int2SE	Fe57_CPS	Fe57_CPS_Int2SE	Co59_CPS	Co59_CPS_Int2SE	Ni60_CPS	Ni60_CPS_Int2SE	Ga71_CPS	Ga71_CPS_Int2SE	Zr90_CPS	Zr90_CPS_Int2SE	Nb93_CPS	Nb93_CPS_Int2SE	Mo97_CPS	Mo97_CPS_Int2SE	In113_CPS	In113_CPS_Int2SE	Sn119_CPS	Sn119_CPS_Int2SE	Sn118_CPS	Sn118_CPS_Int2SE	Sb121_CPS	Sb121_CPS_Int2SE	Hf177_CPS	Hf177_CPS_Int2SE	Ta181_CPS	Ta181_CPS_Int2SE	W183_CPS	W183_CPS_Int2SE	Pb206_CPS	Pb206_CPS_Int2SE	Th232_CPS	Th232_CPS_Int2SE	U238_CPS	U238_CPS_Int2SE	Tc97_CPS	Tc97_CPS_Int2SE	Cd113_CPS	Cd113_CPS_Int2SE	U232_CPS	U232_CPS_Int2SE	Pu238_CPS	Pu238_CPS_Int2SE
G_NIST610_1	NIST 610-1	24/11/2017 (6) 15:57:53.42	24/11/2017 (6)	15:57:53.42	17.254		61	Normal	1	13440	360	1.560E+06	1.6E+04	6880	320	2.368E+05	2.6E+03	2.035E+05	2.1E+03	2.265E+05	2.7E+03	4700	190	1.384E+05	1.7E+03	28580	550	1.093E+05	1.3E+03	2.770E+05	2.9E+03	4.366E+05	4.6E+03	39410	720	47400	740	61800	760	1.587E+05	2.0E+03	1.833E+05	2.2E+03	2.057E+05	2.2E+03	9.29E+05	0.10E+05	9.58E+04	0.12E+04	1.814E+05	2.0E+03	1.060E+06	1.2E+04	1.076E+06	1.2E+04	39410	720	47400	740	1.060E+06	1.2E+04	1.076E+06	1.2E+04
																																																															
G_NIST612_1	NIST 612-1	24/11/2017 (6) 15:55:41.13	24/11/2017 (6)	15:55:41.13	20.541		72	Normal	1	1222	79	1.554E+06	1.3E+04	6100	310	19590	390	16870	380	19360	410	500	110	11580	260	2540	160	9140	230	23860	500	35250	510	3300	150	4660	180	5270	170	13810	330	15250	410	17050	380	75730	820	8000	210	16260	350	84320	990	8.45E+04	0.10E+04	3300	150	4660	180	84320	990	8.45E+04	0.10E+04
Output_1_1	Bischoff_1a_001	24/11/2017 (6) 16:49:09.68	24/11/2017 (6)	16:49:09.68	80.82	Bischoff_1a_001	280	Normal	1	2.24E+04	0.48E+04	1.36E+05	0.47E+05	2180	250	2.12E+04	0.46E+04	2.72E+04	0.68E+04	2840	700	1.33E+04	0.29E+04	1080	160	1580	220	4510	810	3.88E+04	0.51E+04	8.2E+03	2.1E+03	3.0	3.3	441	94	5.32E+07	0.72E+07	1.43E+08	0.19E+08	950	160	1530	210	580	160	4.71E+05	0.95E+05	5840	770	290	150	3240	530	3.0	3.3	441	94	290	150	3240	530
Output_1_2	Bischoff_1a_002	24/11/2017 (6) 16:51:24.71	24/11/2017 (6)	16:51:24.71	80.79	Bischoff_1a_002	280	Normal	1	2.11E+04	0.46E+04	6.7E+04	2.5E+04	1710	230	1.62E+04	0.36E+04	1.85E+04	0.44E+04	2820	790	1.56E+04	0.37E+04	920	140	1210	190	4660	960	3.21E+04	0.45E+04	6.1E+03	1.7E+03	3.3	3.4	429	97	5.10E+07	0.71E+07	1.37E+08	0.19E+08	1080	180	1230	180	400	100	4.8E+05	1.0E+05	4150	620	30.9	9.6	2820	500	3.3	3.4	429	97	30.9	9.6	2820	500
Output_1_3	Bischoff_1a_003	24/11/2017 (6) 16:52:52.69	24/11/2017 (6)	16:52:52.69	80.81	Bischoff_1a_003	280	Normal	1	1.74E+04	0.39E+04	6.7E+04	2.8E+04	1430	230	1.37E+04	0.28E+04	2.04E+04	0.51E+04	8.8E+03	2.8E+03	1.85E+04	0.47E+04	910	140	1230	200	5.4E+03	1.1E+03	3.03E+04	0.44E+04	7.0E+03	1.9E+03	3.7	3.4	442	92	5.00E+07	0.71E+07	1.33E+08	0.19E+08	1060	180	1180	170	401	99	4.11E+05	0.90E+05	1.22E+04	0.57E+04	38	10	2670	460	3.7	3.4	442	92	38	10	2670	460
Output_1_4	Bischoff_1a_004	24/11/2017 (6) 16:54:21.71	24/11/2017 (6)	16:54:21.71	80.79	Bischoff_1a_004	280	Normal	1	1.62E+04	0.34E+04	6.0E+04	2.6E+04	1250	220	1.71E+04	0.32E+04	2.00E+04	0.46E+04	3.8E+03	1.4E+03	2.13E+04	0.62E+04	800	130	1190	190	7.5E+03	1.4E+03	2.65E+04	0.39E+04	7.1E+03	1.9E+03	19	10	560	110	4.69E+07	0.70E+07	1.26E+08	0.19E+08	940	170	1020	160	560	140	3.26E+05	0.75E+05	4510	700	17.6	6.5	2280	400	19	10	560	110	17.6	6.5	2280	400
Output_1_5	Bischoff_1a_005	24/11/2017 (6) 16:55:54.65	24/11/2017 (6)	16:55:54.65	80.85	Bischoff_1a_005	280	Normal	1	1.22E+04	0.29E+04	8.1E+04	2.5E+04	1210	230	1.87E+04	0.38E+04	2.19E+04	0.56E+04	4.8E+03	1.5E+03	2.49E+04	0.62E+04	780	140	1170	200	7.9E+03	1.4E+03	2.55E+04	0.39E+04	3780	920	2.8	3.3	800	150	4.51E+07	0.70E+07	1.21E+08	0.19E+08	1050	190	860	140	339	77	1.86E+05	0.43E+05	3820	610	12.7	4.6	2040	360	2.8	3.3	800	150	12.7	4.6	2040	360
Output_1_6	Bischoff_1a_006	24/11/2017 (6) 16:57:34.68	24/11/2017 (6)	16:57:34.68	80.82	Bischoff_1a_006	280	Normal	1	1.35E+04	0.31E+04	8.7E+04	2.7E+04	1180	230	2.44E+04	0.55E+04	2.57E+04	0.71E+04	3.0E+03	1.3E+03	2.25E+04	0.65E+04	840	140	1220	200	7.6E+03	1.3E+03	2.70E+04	0.41E+04	3.8E+03	1.0E+03	1.5	3.0	870	160	4.69E+07	0.70E+07	1.24E+08	0.19E+08	870	150	940	150	333	75	2.49E+05	0.47E+05	3450	580	6.5	3.8	1750	290	1.5	3.0	870	160	6.5	3.8	1750	290
Output_1_7	Bischoff_1a_007	24/11/2017 (6) 16:59:04.63	24/11/2017 (6)	16:59:04.63	80.87	Bischoff_1a_007	280	Normal	1	1.75E+04	0.36E+04	1.45E+05	0.50E+05	1160	220	2.23E+04	0.47E+04	2.46E+04	0.63E+04	3.4E+03	1.4E+03	2.9E+04	1.0E+04	850	140	1200	190	5890	960	2.85E+04	0.41E+04	4210	950	-5.3	1.0	760	140	4.95E+07	0.71E+07	1.32E+08	0.19E+08	750	130	1080	160	264	72	3.50E+05	0.67E+05	3770	570	12.5	5.3	1900	310	-5.3	1.0	760	140	12.5	5.3	1900	310
Output_1_8	Bischoff_1a_008	24/11/2017 (6) 17:00:36.66	24/11/2017 (6)	17:00:36.66	80.84	Bischoff_1a_008	280	Normal	1	2.69E+04	0.51E+04	8.5E+04	2.9E+04	1330	230	2.47E+04	0.45E+04	5.4E+04	1.3E+04	6.3E+03	2.5E+03	3.0E+04	1.0E+04	1010	150	1350	200	7.5E+03	1.1E+03	3.11E+04	0.43E+04	5.6E+03	1.6E+03	-5.3	1.0	820	140	5.36E+07	0.74E+07	1.43E+08	0.20E+08	870	140	1220	180	263	59	2.38E+05	0.51E+05	4130	590	8.4	4.1	2070	340	-5.3	1.0	820	140	8.4	4.1	2070	340
Output_1_9	Bischoff_1a_009	24/11/2017 (6) 17:02:04.66	24/11/2017 (6)	17:02:04.66	80.84	Bischoff_1a_009	280	Normal	1	2.94E+04	0.57E+04	7.1E+04	2.5E+04	1420	240	2.73E+04	0.48E+04	6.1E+04	1.5E+04	4.3E+03	2.0E+03	3.4E+04	1.1E+04	1030	150	1520	210	8.7E+03	1.2E+03	3.42E+04	0.48E+04	5.5E+03	1.8E+03	0.8	2.9	850	150	5.60E+07	0.76E+07	1.52E+08	0.21E+08	980	160	1280	190	245	61	1.51E+05	0.38E+05	4230	580	54	25	2140	370	0.8	2.9	850	150	54	25	2140	370
Output_1_10	Bischoff_1a_010	24/11/2017 (6) 17:03:34.66	24/11/2017 (6)	17:03:34.66	80.84	Bischoff_1a_010	280	Normal	1	2.50E+04	0.46E+04	5.1E+04	1.9E+04	1370	240	2.89E+04	0.48E+04	5.9E+04	1.4E+04	3.1E+03	1.5E+03	2.84E+04	0.82E+04	1070	150	1460	200	9.7E+03	1.5E+03	3.27E+04	0.44E+04	4.5E+03	1.5E+03	-5.3	1.0	940	160	5.76E+07	0.77E+07	1.56E+08	0.21E+08	1080	170	1280	190	184	40	1.40E+05	0.35E+05	4580	600	7.4	4.0	2310	350	-5.3	1.0	940	160	7.4	4.0	2310	350
Output_1_11	Bischoff_1a_011	24/11/2017 (6) 17:05:04.65	24/11/2017 (6)	17:05:04.65	80.85	Bischoff_1a_011	280	Normal	1	1.88E+04	0.35E+04	6.7E+04	2.6E+04	1180	230	2.89E+04	0.46E+04	4.9E+04	1.1E+04	2.8E+03	1.2E+03	3.33E+04	0.93E+04	1100	160	1570	220	1.04E+04	0.16E+04	3.28E+04	0.44E+04	3770	790	1.2	3.0	820	130	6.03E+07	0.79E+07	1.62E+08	0.21E+08	1090	170	1220	170	381	75	1.95E+05	0.50E+05	5060	640	17.3	6.2	2220	310	1.2	3.0	820	130	17.3	6.2	2220	310
Output_1_12	Bischoff_1a_012	24/11/2017 (6) 17:06:40.66	24/11/2017 (6)	17:06:40.66	80.84	Bischoff_1a_012	280	Normal	1	1.86E+04	0.39E+04	6.6E+04	2.3E+04	1280	230	2.89E+04	0.44E+04	5.6E+04	1.5E+04	3.7E+03	1.6E+03	3.04E+04	0.78E+04	1120	150	1620	230	1.31E+04	0.20E+04	3.26E+04	0.43E+04	2270	450	3.7	3.4	920	140	6.07E+07	0.78E+07	1.63E+08	0.21E+08	1150	170	1240	170	270	55	1.56E+05	0.40E+05	5100	650	17.2	5.9	2080	280	3.7	3.4	920	140	17.2	5.9	2080	280
Output_1_13	Bischoff_1a_013	24/11/2017 (6) 17:08:08.67	24/11/2017 (6)	17:08:08.67	80.83	Bischoff_1a_013	280	Normal	1	1.99E+04	0.40E+04	6.0E+04	2.3E+04	1240	240	3.14E+04	0.48E+04	4.8E+04	1.4E+04	4.1E+03	2.0E+03	3.29E+04	0.90E+04	1080	150	1540	210	1.56E+04	0.24E+04	3.12E+04	0.41E+04	1430	270	-5.3	1.0	1020	150	5.87E+07	0.78E+07	1.57E+08	0.21E+08	1120	160	1170	160	171	37	9.7E+04	2.5E+04	4950	650	9.6	4.3	1990	270	-5.3	1.0	1020	150	9.6	4.3	1990	270
Output_1_14	Bischoff_1a_014	24/11/2017 (6) 17:09:37.72	24/11/2017 (6)	17:09:37.72	80.78	Bischoff_1a_014	280	Normal	1	2.21E+04	0.45E+04	6.2E+04	2.8E+04	1230	230	3.30E+04	0.50E+04	5.2E+04	1.5E+04	4.8E+03	2.3E+03	3.7E+04	1.0E+04	1120	160	1600	220	1.31E+04	0.19E+04	3.32E+04	0.44E+04	1300	230	3.1	3.4	1120	170	5.81E+07	0.77E+07	1.56E+08	0.21E+08	1100	170	1270	180	185	35	8.0E+04	1.6E+04	5110	670	8.7	4.1	2020	290	3.1	3.4	1120	170	8.7	4.1	2020	290
Output_1_15	Bischoff_1a_015	24/11/2017 (6) 17:11:09.70	24/11/2017 (6)	17:11:09.70	80.8	Bischoff_1a_015	280	Normal	1	2.31E+04	0.47E+04	5.9E+04	2.5E+04	1240	240	3.23E+04	0.47E+04	5.6E+04	1.5E+04	3.6E+03	1.6E+03	3.11E+04	0.76E+04	1220	150	1690	210	1.18E+04	0.17E+04	3.38E+04	0.44E+04	1190	220	2.4	3.2	1170	180	6.29E+07	0.77E+07	1.67E+08	0.21E+08	1080	160	1310	170	224	56	8.3E+04	1.7E+04	5430	670	12.2	5.3	1990	310	2.4	3.2	1170	180	12.2	5.3	1990	310
Output_1_16	Bischoff_1a_016	24/11/2017 (6) 17:12:39.67	24/11/2017 (6)	17:12:39.67	80.83	Bischoff_1a_016	280	Normal	1	2.74E+04	0.51E+04	6.8E+04	2.8E+04	1190	230	3.30E+04	0.44E+04	6.0E+04	1.4E+04	1550	730	2.34E+04	0.41E+04	1280	160	1810	220	1.24E+04	0.17E+04	3.58E+04	0.44E+04	1580	300	-5.3	1.0	1230	170	6.63E+07	0.78E+07	1.81E+08	0.21E+08	1370	190	1320	170	151	28	1.03E+05	0.19E+05	5460	650	7.4	3.9	2200	310	-5.3	1.0	1230	170	7.4	3.9	2200	310
Output_1_17	Bischoff_1a_017	24/11/2017 (6) 17:14:10.66	24/11/2017 (6)	17:14:10.66	80.84	Bischoff_1a_017	280	Normal	1	3.02E+04	0.53E+04	9.8E+04	3.3E+04	1200	230	3.33E+04	0.48E+04	6.4E+04	1.4E+04	1220	660	2.25E+04	0.41E+04	1240	160	1750	220	1.23E+04	0.16E+04	3.63E+04	0.43E+04	3290	720	-5.3	1.0	1090	150	6.51E+07	0.76E+07	1.74E+08	0.21E+08	1520	210	1400	170	187	38	1.22E+05	0.21E+05	5270	620	10.1	4.3	2360	320	-5.3	1.0	1090	150	10.1	4.3	2360	320
Output_1_18	Bischoff_1a_018	24/11/2017 (6) 17:15:42.64	24/11/2017 (6)	17:15:42.64	80.86	Bischoff_1a_018	280	Normal	1	3.22E+04	0.54E+04	1.04E+05	0.35E+05	1200	220	3.08E+04	0.44E+04	6.4E+04	1.2E+04	1230	620	2.00E+04	0.37E+04	1250	150	1840	210	1.12E+04	0.15E+04	3.93E+04	0.46E+04	4.7E+03	1.0E+03	-5.3	1.0	990	140	6.74E+07	0.76E+07	1.81E+08	0.21E+08	1340	180	1480	180	198	45	1.67E+05	0.30E+05	5810	650	5.4	3.7	2470	340	-5.3	1.0	990	140	5.4	3.7	2470	340
Output_1_19	Bischoff_1a_019	24/11/2017 (6) 17:17:12.70	24/11/2017 (6)	17:17:12.70	80.8	Bischoff_1a_019	280	Normal	1	3.18E+04	0.53E+04	6.9E+04	1.9E+04	1190	230	3.19E+04	0.43E+04	8.1E+04	1.6E+04	3.1E+03	1.3E+03	1.92E+04	0.28E+04	1340	160	1880	210	1.21E+04	0.17E+04	3.95E+04	0.45E+04	2790	600	-5.3	1.0	1120	150	7.05E+07	0.78E+07	1.89E+08	0.21E+08	1580	200	1470	170	153	31	1.40E+05	0.25E+05	5730	640	14.9	6.9	2660	350	-5.3	1.0	1120	150	14.9	6.9	2660	350
Output_1_20	Bischoff_1a_020	24/11/2017 (6) 17:19:09.65	24/11/2017 (6)	17:19:09.65	80.85	Bischoff_1a_020	280	Normal	1	2.98E+04	0.49E+04	9.6E+04	2.6E+04	1340	230	3.62E+04	0.49E+04	6.4E+04	1.4E+04	3.6E+03	1.2E+03	2.52E+04	0.40E+04	1310	160	1920	220	1.27E+04	0.17E+04	3.77E+04	0.43E+04	3240	790	-5.3	1.0	1280	170	7.00E+07	0.77E+07	1.91E+08	0.21E+08	1700	220	1390	170	161	38	1.15E+05	0.25E+05	5520	620	16.5	5.7	2950	430	-5.3	1.0	1280	170	16.5	5.7	2950	430
Output_1_21	Bischoff_1a_021	24/11/2017 (6) 17:20:40.70	24/11/2017 (6)	17:20:40.70	80.8	Bischoff_1a_021	280	Normal	1	2.92E+04	0.47E+04	7.6E+04	2.3E+04	1180	220	3.35E+04	0.46E+04	5.1E+04	1.0E+04	2010	670	2.11E+04	0.32E+04	1320	160	1830	210	1.23E+04	0.17E+04	3.71E+04	0.43E+04	3900	910	-5.3	1.0	1270	170	6.82E+07	0.76E+07	1.82E+08	0.20E+08	1650	230	1360	160	430	100	1.58E+05	0.39E+05	5590	640	14.6	6.8	3040	460	-5.3	1.0	1270	170	14.6	6.8	3040	460
Output_1_22	Bischoff_1a_022	24/11/2017 (6) 17:22:08.68	24/11/2017 (6)	17:22:08.68	80.82	Bischoff_1a_022	280	Normal	1	2.99E+04	0.48E+04	5.5E+04	1.2E+04	1140	220	3.81E+04	0.51E+04	7.2E+04	1.5E+04	940	390	2.06E+04	0.29E+04	1290	160	1820	210	1.32E+04	0.18E+04	3.79E+04	0.43E+04	2470	550	-5.3	1.0	1300	170	6.89E+07	0.77E+07	1.88E+08	0.21E+08	1620	220	1390	170	180	35	1.15E+05	0.30E+05	5520	620	14.6	6.3	3000	440	-5.3	1.0	1300	170	14.6	6.3	3000	440
Output_1_23	Bischoff_1a_023	24/11/2017 (6) 17:23:37.70	24/11/2017 (6)	17:23:37.70	80.8	Bischoff_1a_023	280	Normal	1	3.24E+04	0.51E+04	5.9E+04	1.2E+04	1050	230	3.93E+04	0.52E+04	7.7E+04	1.6E+04	1110	430	2.11E+04	0.29E+04	1300	160	1850	210	1.41E+04	0.18E+04	3.93E+04	0.45E+04	2340	460	3.3	3.4	1360	170	6.99E+07	0.77E+07	1.92E+08	0.21E+08	1640	210	1440	170	170	37	1.60E+05	0.36E+05	5470	630	6.5	3.8	3100	410	3.3	3.4	1360	170	6.5	3.8	3100	410
