Sample	Fe
NIST612_1	0.0051
NIST610_1	0.0458
NIST612_2	0.0051
NIST610_2	0.0458
CS12_Beechworth_C2_1	0.354
CS12_Beechworth_C2_2	0.354
CS12_Beechworth_C2_3	0.354
CS12_Beechworth_C2_4	0.354
CS12_Beechworth_C2_5	0.354
CS12_Beechworth_C2_6	0.354
NIST612_3	0.0051
NIST610_3	0.0458
CS12_Beechworth_C2_7	0.354
CS12_Beechworth_C2_8	0.354
CS12_Beechworth_C2_9	0.354
CS12_Beechworth_C2_10	0.354
CS12_Beechworth_C2_11	0.354
CS12_Beechworth_C2_12	0.354
NIST612_4	0.0051
NIST610_4	0.0458
CS12_Beechworth_C2_13	0.354
CS12_Beechworth_C2_14	0.354
CS12_Beechworth_C2_15	0.354
CS12_Beechworth_C2_16	0.354
CS12_Beechworth_C2_17	0.354
CS12_Beechworth_C2_18	0.354
NIST612_5	0.0051
NIST610_5	0.0458
CS12_Beechworth_C2_19	0.354
CS12_Beechworth_C2_20	0.354
CS12_Beechworth_C2_21	0.354
CS13_Saltwater_E1_1	0.055
CS13_Saltwater_E1_2	0.055
CS13_Saltwater_E1_3	0.055
NIST612_6	0.0051
NIST610_6	0.0458
CS13_Saltwater_E1_4	0.055
CS13_Saltwater_E1_5	0.055
CS13_Saltwater_E1_6	0.055
CS13_Saltwater_E1_7	0.055
CS13_Saltwater_E1_8	0.055
CS13_Saltwater_E1_9	0.055
CS13_Saltwater_E1_10	0.055
NIST612_7	0.0051
NIST610_7	0.0458
CS13_Saltwater_E1_11	0.055
CS13_Saltwater_E1_12	0.055
CS13_Saltwater_E1_13	0.055
CS13_Saltwater_E1_14	0.055
CS13_Saltwater_E1_15	0.055
CS13_Saltwater_E1_16	0.055
CS13_Saltwater_E1_17	0.055
NIST612_8	0.0051
NIST610_8	0.0458
CS13_Saltwater_E1_18	0.055
CS13_Saltwater_E1_19	0.055
CS13_Saltwater_E1_20	0.055
CS13_Saltwater_E1_21	0.055
CS13_Saltwater_E1_22	0.055
CS13_Saltwater_E1_23	0.055
NIST612_9	0.0051
NIST610_9	0.0458
CS13_Goias_D3_1	0.0114
CS13_Goias_D3_2	0.0114
CS13_Goias_D3_3	0.0114
CS13_Goias_D3_4	0.0114
CS13_Goias_D3_5	0.0114
CS13_Goias_D3_6	0.0114
CS13_Goias_D3_7	0.0114
NIST612_10	0.0051
