Sample	Sn
NIST612_1	0.00386
NIST610_1	0.043
NIST612_2	0.00386
NIST610_2	0.043
CS12_Beechworth_C2_1	78.76496534
CS12_Beechworth_C2_2	78.76496534
CS12_Beechworth_C2_3	78.76496534
CS12_Beechworth_C2_4	78.76496534
CS12_Beechworth_C2_5	78.76496534
CS12_Beechworth_C2_6	78.76496534
NIST612_3	0.00386
NIST610_3	0.043
CS12_Beechworth_C2_7	78.76496534
CS12_Beechworth_C2_8	78.76496534
CS12_Beechworth_C2_9	78.76496534
CS12_Beechworth_C2_10	78.76496534
CS12_Beechworth_C2_11	78.76496534
CS12_Beechworth_C2_12	78.76496534
NIST612_4	0.00386
NIST610_4	0.043
CS12_Beechworth_C2_13	78.76496534
CS12_Beechworth_C2_14	78.76496534
CS12_Beechworth_C2_15	78.76496534
CS12_Beechworth_C2_16	78.76496534
CS12_Beechworth_C2_17	78.76496534
CS12_Beechworth_C2_18	78.76496534
NIST612_5	0.00386
NIST610_5	0.043
CS12_Beechworth_C2_19	78.76496534
CS12_Beechworth_C2_20	78.76496534
CS12_Beechworth_C2_21	78.76496534
CS13_Saltwater_E1_1	78.76496534
CS13_Saltwater_E1_2	78.76496534
CS13_Saltwater_E1_3	78.76496534
NIST612_6	0.00386
NIST610_6	0.043
CS13_Saltwater_E1_4	78.76496534
CS13_Saltwater_E1_5	78.76496534
CS13_Saltwater_E1_6	78.76496534
CS13_Saltwater_E1_7	78.76496534
CS13_Saltwater_E1_8	78.76496534
CS13_Saltwater_E1_9	78.76496534
CS13_Saltwater_E1_10	78.76496534
NIST612_7	0.00386
NIST610_7	0.043
CS13_Saltwater_E1_11	78.76496534
CS13_Saltwater_E1_12	78.76496534
CS13_Saltwater_E1_13	78.76496534
CS13_Saltwater_E1_14	78.76496534
CS13_Saltwater_E1_15	78.76496534
CS13_Saltwater_E1_16	78.76496534
CS13_Saltwater_E1_17	78.76496534
NIST612_8	0.00386
NIST610_8	0.043
CS13_Saltwater_E1_18	78.76496534
CS13_Saltwater_E1_19	78.76496534
CS13_Saltwater_E1_20	78.76496534
CS13_Saltwater_E1_21	78.76496534
CS13_Saltwater_E1_22	78.76496534
CS13_Saltwater_E1_23	78.76496534
NIST612_9	0.00386
NIST610_9	0.043
CS13_Goias_D3_1	78.76496534
CS13_Goias_D3_2	78.76496534
CS13_Goias_D3_3	78.76496534
CS13_Goias_D3_4	78.76496534
CS13_Goias_D3_5	78.76496534
CS13_Goias_D3_6	78.76496534
CS13_Goias_D3_7	78.76496534
NIST612_10	0.00386
NIST610_10	0.043
CS13_Goias_D3_8	78.76496534
CS13_Goias_D3_9	78.76496534
CS12_Goias_D3_10	78.76496534
CS12_Goias_D3_11	78.76496534
CS12_Goias_D3_12	78.76496534
CS12_Goias_D3_13	78.76496534
CS12_Goias_D3_14	78.76496534
NIST612_11	0.00386
NIST610_11	0.043
CS12_Goias_D3_15	78.76496534
CS12_Goias_D3_16	78.76496534
CS12_Goias_D3_17	78.76496534
CS12_Goias_D3_18	78.76496534
CS12_Goias_D3_19	78.76496534
CS12_Goias_D3_20	78.76496534
CS12_Goias_D3_21	78.76496534
NIST612_12	0.00386
NIST610_12	0.043
CS12_Goias_D3_22	78.76496534
CS12_Goias_D3_23	78.76496534
CS12_Goias_D3_24	78.76496534
CS12_Goias_D3_25	78.76496534
CS12_Goias_D3_26	78.76496534
CS12_Goias_D3_27	78.76496534
NIST612_13	0.00386
NIST610_13	0.043
CS13_Saltwater_E3_1	78.76496534
CS13_Saltwater_E3_2	78.76496534
CS13_Saltwater_E3_3	78.76496534
CS13_Saltwater_E3_4	78.76496534
CS13_Saltwater_E3_5	78.76496534
CS13_Saltwater_E3_6	78.76496534
CS13_Saltwater_E3_7	78.76496534
CS13_Saltwater_E3_8	78.76496534
NIST612_14	0.00386
NIST610_14	0.043
CS13_Saltwater_E3_9	78.76496534
CS13_Saltwater_E3_10	78.76496534
CS13_Saltwater_E3_11	78.76496534
CS13_Saltwater_E3_12	78.76496534
CS13_Saltwater_E3_13	78.76496534
CS13_Saltwater_E3_14	78.76496534
CS13_Saltwater_E3_15	78.76496534
CS13_Saltwater_E3_16	78.76496534
NIST612_15	0.00386
NIST610_15	0.043
CS13_Saltwater_E3_17	78.76496534
CS13_Saltwater_E3_18	78.76496534
CS13_Saltwater_E3_19	78.76496534
CS13_Saltwater_E3_20	78.76496534
CS13_Saltwater_E3_21	78.76496534
CS13_Saltwater_E3_22	78.76496534
CS13_Saltwater_E3_23	78.76496534
CS13_Saltwater_E3_24	78.76496534
NIST612_16	0.00386
NIST610_16	0.043
CS13_Saltwater_E3_25	78.76496534
CS13_Saltwater_E3_26	78.76496534
CS13_Saltwater_E3_27	78.76496534
CS13_Saltwater_E3_28	78.76496534
CS13_Saltwater_E3_29	78.76496534
CS13_Saltwater_E3_30	78.76496534
CS13_Goias_B3_1	78.76496534
CS13_Goias_B3_2	78.76496534
NIST612_17	0.00386
NIST610_17	0.043
CS13_Goias_B3_3	78.76496534
CS13_Goias_B3_4	78.76496534
CS13_Goias_B3_5	78.76496534
CS13_Goias_B3_6	78.76496534
CS13_Goias_B3_7	78.76496534
CS13_Goias_B3_8	78.76496534
CS13_Goias_B3_9	78.76496534
CS13_Goias_B3_10	78.76496534
NIST610_18	0.043
NIST612_18	0.00386
CS13_Goias_B3_11	78.76496534
CS13_Goias_B3_12	78.76496534
CS13_Goias_B3_13	78.76496534
CS13_Goias_B3_14	78.76496534
CS13_Goias_B3_15	78.76496534
CS13_Goias_B3_16	78.76496534
CS13_Goias_B3_17	78.76496534
CS13_Goias_B3_18	78.76496534
NIST612_19	0.00386
NIST610_19	0.043
CS13_Goias_B3_19	78.76496534
CS13_Goias_B3_20	78.76496534
CS13_Goias_B3_21	78.76496534
CS13_Goias_B3_22	78.76496534
CS13_Goias_B3_23	78.76496534
CS13_Goias_B3_24	78.76496534
CS13_Poona_D4_1	78.76496534
CS13_Poona_D4_2	78.76496534
NIST612_20	0.00386
NIST610_20	0.043
CS13_Poona_D4_3	78.76496534
CS13_Poona_D4_4	78.76496534
CS13_Poona_D4_5	78.76496534
CS13_Poona_D4_6	78.76496534
CS13_Poona_D4_7	78.76496534
CS13_Poona_D4_8	78.76496534
CS13_Poona_D4_9	78.76496534
CS13_Poona_D4_10	78.76496534
NIST612_21	0.00386
NIST610_21	0.043
CS13_Poona_D4_11	78.76496534
CS13_Poona_D4_12	78.76496534
CS13_Poona_D4_13	78.76496534
CS13_Poona_D4_14	78.76496534
CS13_Poona_D4_15	78.76496534
CS13_Poona_D4_16	78.76496534
CS13_Poona_D4_17	78.76496534
CS13_Poona_D4_18	78.76496534
NIST612_22	0.00386
NIST610_22	0.043
CS13_Poona_D4_19	78.76496534
CS13_Poona_D4_20	78.76496534
CS13_Poona_D4_21	78.76496534
CS13_Poona_D4_22	78.76496534
CS14_Bamboo_I_1	78.76496534
CS14_Bamboo_I_2	78.76496534
CS14_Bamboo_I_3	78.76496534
CS14_Bamboo_I_4	78.76496534
NIST612_23	0.00386
NIST610_23	0.043
CS14_Bamboo_I_5	78.76496534
CS14_Bamboo_I_6	78.76496534
CS14_Bamboo_I_7	78.76496534
CS14_Bamboo_I_8	78.76496534
CS14_Bamboo_I_9	78.76496534
CS14_Bamboo_I_10	78.76496534
CS14_Bamboo_I_11	78.76496534
CS14_Bamboo_I_12	78.76496534
NIST612_24	0.00386
NIST610_24	0.043
CS14_Bamboo_I_13	78.76496534
CS14_Bamboo_I_14	78.76496534
CS14_Bamboo_I_15	78.76496534
CS14_Bamboo_I_16	78.76496534
CS14_Goias_J_1	78.76496534
CS14_Goias_J_2	78.76496534
CS14_Goias_J_3	78.76496534
CS14_Goias_J_4	78.76496534
NIST612_25	0.00386
NIST610_25	0.043
CS14_Goias_J_5	78.76496534
CS14_Goias_J_6	78.76496534
CS14_Goias_J_7	78.76496534
CS14_Goias_J_8	78.76496534
CS14_Goias_J_9	78.76496534
CS14_Goias_J_10	78.76496534
CS14_Goias_J_11	78.76496534
NIST612_26	0.00386
NIST610_26	0.043
CS14_Moolyella_B_1	78.76496534
CS14_Moolyella_B_2	78.76496534
CS14_Moolyella_B_3	78.76496534
CS14_Moolyella_B_4	78.76496534
CS14_Moolyella_B_5	78.76496534
CS14_Moolyella_B_6	78.76496534
CS14_Moolyella_B_7	78.76496534
CS14_Moolyella_B_8	78.76496534
NIST612_27	0.00386
NIST610_27	0.043
CS14_Moolyella_B_9	78.76496534
CS14_Moolyella_B_10	78.76496534
CS14_Moolyella_B_11	78.76496534
CS14_Moolyella_B_12	78.76496534
CS14_Moolyella_B_13	78.76496534
CS14_Moolyella_B_14	78.76496534
CS14_Moolyella_B_15	78.76496534
NIST612_28	0.00386
NIST610_28	0.043
CS14_Renison_K_1	78.76496534
CS14_Renison_K_2	78.76496534
CS14_Renison_K_3	78.76496534
CS14_Renison_K_4	78.76496534
CS14_Renison_K_5	78.76496534
CS14_Renison_K_6	78.76496534
