	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Sn117_CPS	Sn117_CPS_Int2SE	Sn117_CPS_LOD	IntStdWv	IntStdWv_Int2SE	IntStdWv_LOD	Li_ppm_m7	Li_ppm_m7_Int2SE	Li_ppm_m7_LOD	Al_ppm_m27	Al_ppm_m27_Int2SE	Al_ppm_m27_LOD	Si_ppm_m29	Si_ppm_m29_Int2SE	Si_ppm_m29_LOD	P_ppm_m31	P_ppm_m31_Int2SE	P_ppm_m31_LOD	Ca_ppm_m44	Ca_ppm_m44_Int2SE	Ca_ppm_m44_LOD	Sc_ppm_m45	Sc_ppm_m45_Int2SE	Sc_ppm_m45_LOD	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Ti_ppm_m49_LOD	V_ppm_m51	V_ppm_m51_Int2SE	V_ppm_m51_LOD	Cr_ppm_m52	Cr_ppm_m52_Int2SE	Cr_ppm_m52_LOD	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Mn_ppm_m55_LOD	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Fe_ppm_m57_LOD	Co_ppm_m59	Co_ppm_m59_Int2SE	Co_ppm_m59_LOD	Ni_ppm_m60	Ni_ppm_m60_Int2SE	Ni_ppm_m60_LOD	Cu_ppm_m65	Cu_ppm_m65_Int2SE	Cu_ppm_m65_LOD	Zn_ppm_m66	Zn_ppm_m66_Int2SE	Zn_ppm_m66_LOD	Ga_ppm_m69	Ga_ppm_m69_Int2SE	Ga_ppm_m69_LOD	Ga_ppm_m71	Ga_ppm_m71_Int2SE	Ga_ppm_m71_LOD	Ge_ppm_m72	Ge_ppm_m72_Int2SE	Ge_ppm_m72_LOD	As_ppm_m75	As_ppm_m75_Int2SE	As_ppm_m75_LOD	m77__Cl_CPS	m77__Cl_CPS_Int2SE	m77__Cl_CPS_LOD	Se_ppm_m82	Se_ppm_m82_Int2SE	Se_ppm_m82_LOD	Kr83_CPS	Kr83_CPS_Int2SE	Kr83_CPS_LOD	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Rb_ppm_m85_LOD	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Sr_ppm_m88_LOD	Y_ppm_m89	Y_ppm_m89_Int2SE	Y_ppm_m89_LOD	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Zr_ppm_m90_LOD	Nb_ppm_m93	Nb_ppm_m93_Int2SE	Nb_ppm_m93_LOD	Mo_ppm_m97	Mo_ppm_m97_Int2SE	Mo_ppm_m97_LOD	In_ppm_m113	In_ppm_m113_Int2SE	In_ppm_m113_LOD	Sn_ppm_m119	Sn_ppm_m119_Int2SE	Sn_ppm_m119_LOD	Sb_ppm_m121	Sb_ppm_m121_Int2SE	Sb_ppm_m121_LOD	Cs_ppm_m133	Cs_ppm_m133_Int2SE	Cs_ppm_m133_LOD	Ba_ppm_m138	Ba_ppm_m138_Int2SE	Ba_ppm_m138_LOD	La_ppm_m139	La_ppm_m139_Int2SE	La_ppm_m139_LOD	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Ce_ppm_m140_LOD	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Nd_ppm_m146_LOD	Lu_ppm_m175	Lu_ppm_m175_Int2SE	Lu_ppm_m175_LOD	Hf_ppm_m179	Hf_ppm_m179_Int2SE	Hf_ppm_m179_LOD	Ta_ppm_m181	Ta_ppm_m181_Int2SE	Ta_ppm_m181_LOD	W_ppm_m182	W_ppm_m182_Int2SE	W_ppm_m182_LOD	W_ppm_m183	W_ppm_m183_Int2SE	W_ppm_m183_LOD	Tl_ppm_m205	Tl_ppm_m205_Int2SE	Tl_ppm_m205_LOD	Pb_ppm_m208	Pb_ppm_m208_Int2SE	Pb_ppm_m208_LOD	Bi_ppm_m209	Bi_ppm_m209_Int2SE	Bi_ppm_m209_LOD	Th_ppm_m232	Th_ppm_m232_Int2SE	Th_ppm_m232_LOD	U_ppm_m238	U_ppm_m238_Int2SE	U_ppm_m238_LOD
Bamboo_1	Jason_cass_3	21/02/2018 (4) 17:19:15.34	21/02/2018 (4)	17:19:15.34	29.043	CS14_Bamboo_I_1	29	Normal	1	1.43E+07	0.12E+07	NaN	78.8	1.0	NaN	Below LOD	Below LOD	2.2	405	18	9.6	Below LOD	Below LOD	94000	Below LOD	Below LOD	400	Below LOD	Below LOD	1200	Below LOD	Below LOD	3.5	2420	130	7.4	Below LOD	Below LOD	1.6	23.6	7.9	17	532	30	21	12230	680	57	14.1	1.5	0.51	89.2	8.1	6.5	Below LOD	Below LOD	4.3	10.0	2.8	3.6	11.5	1.3	1.4	14.0	1.3	0.061	Below LOD	Below LOD	7	Below LOD	Below LOD	4.2	2	11	NaN	Below LOD	Below LOD	18	2	42	NaN	Below LOD	Below LOD	1	Below LOD	Below LOD	0.26	0.100	0.061	0.024	4810	210	0.23	6840	240	0.025	236	95	1	Below LOD	Below LOD	2.1	7.028E+05	8.3E+03	4.8	36	16	1.5	1.69	0.38	0.54	0.59	0.19	0.13	0.226	0.093	0.024	0.30	0.14	0.024	Below LOD	Below LOD	0.11	Below LOD	Below LOD	0.015	861	49	0.11	5780	400	0.015	176	40	0.066	270	11	0.12	Below LOD	Below LOD	0.28	Below LOD	Below LOD	0.26	Below LOD	Below LOD	0.49	Below LOD	Below LOD	0.024	10.89	0.63	0.067
Bamboo_2	Jason_cass_3	21/02/2018 (4) 17:20:25.47	21/02/2018 (4)	17:20:25.47	29.105	CS14_Bamboo_I_2	28	Normal	1	1.49E+07	0.14E+07	NaN	78.8	1.0	NaN	2.4	1.3	2	393	19	8.6	Below LOD	Below LOD	86000	Below LOD	Below LOD	370	Below LOD	Below LOD	1100	Below LOD	Below LOD	3.2	2460	120	3.5	Below LOD	Below LOD	1.5	20.2	6.2	15	548	30	19	12720	700	36	12.0	1.1	0.57	78.7	7.7	6.3	Below LOD	Below LOD	5	13.5	2.4	3.3	11.63	0.88	1.3	12.5	1.4	0.36	Below LOD	Below LOD	6.3	Below LOD	Below LOD	3.7	2	12	NaN	Below LOD	Below LOD	16	38	53	NaN	Below LOD	Below LOD	0.92	Below LOD	Below LOD	0.21	0.110	0.059	0.023	4900	250	0.18	6910	230	0.17	86	78	0.56	Below LOD	Below LOD	1.7	7.07E+05	0.15E+05	4.7	23	14	1.3	1.81	0.39	0.49	0.54	0.20	0.13	0.37	0.14	0.023	0.32	0.14	0.077	Below LOD	Below LOD	0.1	Below LOD	Below LOD	0.039	875	40	0.1	6060	390	0.038	69	44	0.063	269	11	0.12	Below LOD	Below LOD	0.18	Below LOD	Below LOD	0.91	Below LOD	Below LOD	0.41	Below LOD	Below LOD	0.023	12.03	0.76	0.054
Bamboo_3	Jason_cass_3	21/02/2018 (4) 17:21:35.70	21/02/2018 (4)	17:21:35.70	29.087	CS14_Bamboo_I_3	29	Normal	1	1.50E+07	0.14E+07	NaN	78.8	1.0	NaN	Below LOD	Below LOD	1.9	375	22	8.9	Below LOD	Below LOD	87000	Below LOD	Below LOD	370	Below LOD	Below LOD	1100	Below LOD	Below LOD	3	2530	140	5.4	Below LOD	Below LOD	1.4	Below LOD	Below LOD	15	529	39	19	12780	860	41	12.3	1.1	0.57	75.2	6.2	5.4	Below LOD	Below LOD	4.3	13.8	3.2	3.3	12.1	1.1	1.3	13.3	1.4	0.27	Below LOD	Below LOD	6.4	Below LOD	Below LOD	4	-4.7	9.4	NaN	Below LOD	Below LOD	16	45	67	NaN	Below LOD	Below LOD	0.89	Below LOD	Below LOD	0.22	Below LOD	Below LOD	0.11	4880	240	0.13	6870	260	0.17	129	72	0.73	Below LOD	Below LOD	1.8	7.037E+05	8.8E+03	4.5	19	16	1.4	1.68	0.44	0.42	0.52	0.23	0.14	0.37	0.11	0.065	0.184	0.090	0.081	Below LOD	Below LOD	0.1	Below LOD	Below LOD	0.041	890	48	0.1	6410	430	0.04	111	43	0.26	271	13	0.11	Below LOD	Below LOD	0.21	Below LOD	Below LOD	0.27	Below LOD	Below LOD	0.42	Below LOD	Below LOD	0.12	11.09	0.85	0.092
Bamboo_4	Jason_cass_3	21/02/2018 (4) 17:22:45.88	21/02/2018 (4)	17:22:45.88	29.049	CS14_Bamboo_I_4	29	Normal	1	1.49E+07	0.14E+07	NaN	78.8	1.0	NaN	3.0	1.1	1.9	352	19	9.4	Below LOD	Below LOD	90000	Below LOD	Below LOD	380	Below LOD	Below LOD	1100	Below LOD	Below LOD	3.3	2520	110	6.8	Below LOD	Below LOD	1.4	16.9	6.2	16	558	29	19	12610	580	39	13.5	1.4	0.59	81.8	8.2	6.5	Below LOD	Below LOD	4.3	13.6	3.2	3.3	11.7	1.0	1.3	12.4	1.2	0.26	Below LOD	Below LOD	6.2	Below LOD	Below LOD	3.7	4	10	NaN	Below LOD	Below LOD	17	-31	62	NaN	Below LOD	Below LOD	0.93	Below LOD	Below LOD	0.23	0.077	0.056	0.062	5030	200	0.12	6780	190	0.13	99	72	0.82	Below LOD	Below LOD	1.9	7.11E+05	0.11E+05	5.1	24	16	1.3	2.49	0.56	0.49	0.44	0.15	0.038	0.204	0.089	0.023	0.29	0.12	0.061	Below LOD	Below LOD	0.36	Below LOD	Below LOD	0.04	945	45	0.36	7350	410	0.014	89	39	0.063	251	12	0.32	Below LOD	Below LOD	0.19	Below LOD	Below LOD	0.45	Below LOD	Below LOD	0.47	Below LOD	Below LOD	0.023	11.44	0.76	0.054
Bamboo_5	Jason_cass_3	21/02/2018 (4) 17:26:17.00	21/02/2018 (4)	17:26:17.00	29.066	CS14_Bamboo_I_5	28	Normal	1	1.47E+07	0.12E+07	NaN	78.8	1.0	NaN	4.8	1.5	1.9	346	20	9.3	Below LOD	Below LOD	89000	Below LOD	Below LOD	370	Below LOD	Below LOD	1100	Below LOD	Below LOD	3.2	2470	130	7	Below LOD	Below LOD	1.4	Below LOD	Below LOD	15	601	36	19	13420	630	40	13.0	1.4	0.55	75.0	7.9	5.4	Below LOD	Below LOD	4.3	10.6	2.8	3.5	9.6	1.3	1.3	12.3	1.1	0.2	Below LOD	Below LOD	6	Below LOD	Below LOD	3.8	8	13	NaN	Below LOD	Below LOD	18	30	40	NaN	Below LOD	Below LOD	0.93	Below LOD	Below LOD	0.23	Below LOD	Below LOD	0.14	5180	260	0.16	6830	220	0.097	91	91	0.57	Below LOD	Below LOD	2.2	6.971E+05	9.3E+03	4.1	21	16	1.4	3.03	0.40	0.53	0.51	0.17	0.19	0.29	0.12	0.13	0.28	0.11	0.092	Below LOD	Below LOD	0.37	Below LOD	Below LOD	0.078	967	46	0.43	8200	460	0.05	105	41	0.064	247	23	0.33	Below LOD	Below LOD	0.13	0.35	0.23	0.28	Below LOD	Below LOD	0.42	Below LOD	Below LOD	0.08	12.18	0.82	0.055
Bamboo_6	Jason_cass_3	21/02/2018 (4) 17:27:27.18	21/02/2018 (4)	17:27:27.18	29.179	CS14_Bamboo_I_6	29	Normal	1	1.48E+07	0.14E+07	NaN	78.8	1.0	NaN	Below LOD	Below LOD	1.7	342	17	9.2	Below LOD	Below LOD	87000	Below LOD	Below LOD	370	Below LOD	Below LOD	1100	Below LOD	Below LOD	3.2	2480	130	4.5	Below LOD	Below LOD	1.5	Below LOD	Below LOD	16	673	42	19	14870	760	38	13.5	1.4	0.54	73.3	9.3	10	Below LOD	Below LOD	4.4	17.6	3.6	3	11.47	0.95	1.2	13.4	1.1	0.23	Below LOD	Below LOD	6.1	Below LOD	Below LOD	3.4	-1	10	NaN	Below LOD	Below LOD	17	65	55	NaN	Below LOD	Below LOD	0.97	Below LOD	Below LOD	0.24	0.133	0.070	0.023	5720	260	0.2	7790	240	0.2	127	84	0.2	Below LOD	Below LOD	2	7.15E+05	0.13E+05	6.1	4	13	1.3	1.34	0.43	0.48	0.56	0.17	0.11	0.208	0.073	0.023	0.145	0.073	0.022	Below LOD	Below LOD	0.1	Below LOD	Below LOD	0.014	1072	52	0.1	8860	600	0.014	89	50	0.062	209.3	9.1	0.32	Below LOD	Below LOD	0.11	Below LOD	Below LOD	0.27	Below LOD	Below LOD	0.44	Below LOD	Below LOD	0.022	12.56	0.92	0.019
Bamboo_7	Jason_cass_3	21/02/2018 (4) 17:28:37.54	21/02/2018 (4)	17:28:37.54	29.098	CS14_Bamboo_I_7	29	Normal	1	1.49E+07	0.13E+07	NaN	78.8	1.0	NaN	Below LOD	Below LOD	1.8	473	21	9.2	Below LOD	Below LOD	89000	Below LOD	Below LOD	370	Below LOD	Below LOD	1100	Below LOD	Below LOD	3.1	2590	160	6.2	Below LOD	Below LOD	1.5	Below LOD	Below LOD	16	717	51	20	15990	990	39	13.3	1.6	0.43	76.3	7.4	6.1	Below LOD	Below LOD	4.4	19.4	2.6	2.9	14.9	1.7	1.3	15.3	1.3	0.059	Below LOD	Below LOD	6	Below LOD	Below LOD	3.2	2	13	NaN	Below LOD	Below LOD	15	9	52	NaN	Below LOD	Below LOD	1	Below LOD	Below LOD	0.14	0.103	0.056	0.023	5570	280	0.16	8340	330	0.34	173	93	0.87	Below LOD	Below LOD	2.2	7.11E+05	0.12E+05	6.3	31	14	1.2	1.54	0.40	0.51	0.71	0.23	0.18	0.251	0.099	0.024	0.152	0.069	0.11	Below LOD	Below LOD	0.11	Below LOD	Below LOD	0.042	1068	55	0.11	8700	610	0.014	136	36	0.064	214	12	0.34	Below LOD	Below LOD	0.2	Below LOD	Below LOD	0.23	Below LOD	Below LOD	0.37	Below LOD	Below LOD	0.023	11.71	0.58	0.02
Bamboo_8	Jason_cass_3	21/02/2018 (4) 17:29:48.07	21/02/2018 (4)	17:29:48.07	29.042	CS14_Bamboo_I_8	29	Normal	1	1.50E+07	0.13E+07	NaN	78.8	1.0	NaN	Below LOD	Below LOD	1.8	501	31	8.9	Below LOD	Below LOD	85000	Below LOD	Below LOD	360	Below LOD	Below LOD	1000	Below LOD	Below LOD	3.1	2690	120	6.9	Below LOD	Below LOD	1.5	27	11	15	709	49	19	1.68E+04	0.11E+04	36	13.9	1.6	0.51	83.8	6.4	16	Below LOD	Below LOD	4	24.4	4.9	3.2	15.3	1.5	1.3	16.1	1.7	0.057	Below LOD	Below LOD	5.4	Below LOD	Below LOD	3.2	1.9	9.0	NaN	Below LOD	Below LOD	17	38	49	NaN	Below LOD	Below LOD	0.9	Below LOD	Below LOD	0.16	0.100	0.058	0.022	5590	310	0.16	8400	360	0.22	182	97	0.93	Below LOD	Below LOD	1.9	7.12E+05	0.12E+05	7.6	44	18	1.1	1.66	0.33	0.47	0.43	0.18	0.14	0.207	0.092	0.023	0.211	0.096	0.061	Below LOD	Below LOD	0.1	Below LOD	Below LOD	0.014	1059	59	0.1	8700	640	0.058	124	35	0.062	224.6	9.6	0.11	Below LOD	Below LOD	0.096	0.42	0.52	0.28	Below LOD	Below LOD	0.37	Below LOD	Below LOD	0.022	11.38	0.65	0.019
Bamboo_9	Jason_cass_3	21/02/2018 (4) 17:30:58.22	21/02/2018 (4)	17:30:58.22	29.072	CS14_Bamboo_I_9	29	Normal	1	1.50E+07	0.13E+07	NaN	78.8	1.0	NaN	Below LOD	Below LOD	1.8	483	27	9.3	Below LOD	Below LOD	90000	Below LOD	Below LOD	370	Below LOD	Below LOD	1000	Below LOD	Below LOD	3.1	2600	130	4.6	Below LOD	Below LOD	1.4	15.7	9.0	16	650	44	19	15660	920	37	13.7	1.3	0.46	81.8	8.3	5.5	Below LOD	Below LOD	4.6	20.9	4.0	3	14.3	1.0	1.3	17.2	1.3	0.16	Below LOD	Below LOD	5.3	Below LOD	Below LOD	3.2	-2	11	NaN	Below LOD	Below LOD	16	-4	60	NaN	Below LOD	Below LOD	0.97	Below LOD	Below LOD	0.22	Below LOD	Below LOD	0.063	5360	320	0.16	7930	360	0.083	109	88	0.57	Below LOD	Below LOD	2	7.11E+05	0.13E+05	12	21	22	1.1	1.38	0.30	0.5	0.35	0.14	0.18	0.281	0.095	0.023	0.154	0.086	0.078	Below LOD	Below LOD	0.1	Below LOD	Below LOD	0.014	1029	61	0.29	8340	620	0.014	102	40	0.063	215.1	9.6	0.12	Below LOD	Below LOD	0.17	Below LOD	Below LOD	0.27	Below LOD	Below LOD	0.35	Below LOD	Below LOD	0.023	10.46	0.56	0.02
Bamboo_10	Jason_cass_3	21/02/2018 (4) 17:32:08.43	21/02/2018 (4)	17:32:08.43	29.079	CS14_Bamboo_I_10	28	Normal	1	1.24E+07	0.16E+07	NaN	78.8	1.0	NaN	4.6	2.6	2.1	546	53	11	Below LOD	Below LOD	1.1e+05	Below LOD	Below LOD	440	Below LOD	Below LOD	1200	3.9	2.0	3.6	2540	190	8.3	Below LOD	Below LOD	1.6	25.0	9.7	18	665	57	23	1.51E+04	0.12E+04	48	12.5	1.3	0.53	78	10	7.8	Below LOD	Below LOD	4.8	22.8	3.9	4.1	14.5	1.5	1.5	15.6	1.9	0.19	Below LOD	Below LOD	6.4	29	13	3.5	1	12	NaN	Below LOD	Below LOD	19	-7	48	NaN	Below LOD	Below LOD	1.1	Below LOD	Below LOD	0.3	0.081	0.072	0.027	5070	320	0.31	7740	360	0.23	110	100	0.68	Below LOD	Below LOD	2	7.16E+05	0.11E+05	8.3	49	34	1.3	14.5	7.2	0.58	0.69	0.23	0.13	0.31	0.11	0.028	0.18	0.10	0.14	Below LOD	Below LOD	0.13	Below LOD	Below LOD	0.017	958	56	0.13	7660	590	0.017	87	45	0.076	220.5	8.5	0.49	Below LOD	Below LOD	0.15	0.70	0.34	0.61	Below LOD	Below LOD	0.36	Below LOD	Below LOD	0.027	10.07	0.80	0.024
