ROCK,Reference,Sample,country,Location1,Location2,Type,Sub type,Age (Ma),Wt.%,SiO2 ,TiO2,Al2O3,Fe2O3t,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,ZrO2,Nb2O5,Y2O3,B2O3,H2O,H2O+,H2O-,CO2,LOI,Total,,A/CNK,Na+K/Al,A/NK,,ppm,Mg,Mn,Ti,S,P,B,F,Cl,Li ,,Nb,Ta,Nb/Ta,Zr,Hf,Zr/Hf
MPG,Ballouard et al.2017b,PONT-14-1,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,70.59,0.275,15.23,1.817,,,0.0258,0.571,0.873,3.627,4.66,0.37,,,,,,,,,1.16,99.2,,1.21,0.72,1.38,,,,,,,,,,,257,,6.738,1.271,5.30133753,92.63,2.955,31.34686971
MPG,Ballouard et al.2017b,PONT-14-2,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,72.1,0.207,15.188,0.855,,,0.0124,0.29,0.571,3.405,4.685,0.36,,,,,,,,,1.54,99.21,,1.30,0.70,1.42,,,,,,,,,,,202,,6.387,1.41,4.529787234,76.53,2.479,30.87131908
MPG,Ballouard et al.2017b,PONT-14-19,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,70.88,0.307,15.58,1.577,,,0.0184,0.514,0.639,3.218,4.89,0.3,,,,,,,,,1.89,99.8134,,1.33,0.68,1.47,,,,,,,,,,,66,,5.537,0.778,7.116966581,117.2,3.512,33.37129841
MPG,Ballouard et al.2017b,PONT-14-5,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,73.05,0.206,14.638,1.282,,,0.0251,0.389,0.743,3.652,4.431,0.38,,,,,,,,,0.73,99.52,,1.20,0.74,1.35,,,,,,,,,,,205,,5.718,1.015,5.633497537,84.26,2.668,31.58170915
MPG,Ballouard et al.2017b,PONT-14-11,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,71.59,0.314,15.583,1.802,,,0.0304,0.636,0.989,4.058,4.351,0.42,,,,,,,,,1.01,100.77,,1.18,0.73,1.37,,,,,,,,,,,224,,8.412,1.467,5.734151329,127.3,3.915,32.51596424
MPG,Euzen 1993,BL145,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,,315,,71.66,0.33,15.75,1.78,,,0.03,0.59,0.83,3.47,4.44,0.35,,,,,,,,,1.3,100.53,,1.31,0.67,1.50,,,,,,,,,,,,,10,1.04,9.615384615,141,3.7,38.10810811
MPG,Euzen 1993,bl72,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,,315,,71.15,0.24,15.36,1.516,,,0.02,0.48,0.74,3.39,4.97,0.36,,,,,,,,,1.1,99.326,,1.25,0.71,1.40,,,,,,,,,,,,,10,1.18,8.474576271,112,2.9,38.62068966
MPG,Euzen 1993,bl97,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.53,0.21,14.66,1.33,,,0.01,0.36,0.64,3.48,4.66,0.37,,,,,,,,,1.02,99.27,,1.23,0.73,1.36,,,,,,,,,,,,,12,1.8,6.666666667,100,2.8,35.71428571
MPG,Ballouard et al.2017b,PONT-14-10,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms>Bt,315,,73.33,0.153,14.608,0.979,,,0.0159,0.223,0.534,3.624,4.294,0.45,,,,,,,,,1.33,99.5409,,1.26,0.73,1.38,,,,,,,,,,,310,,9.268,2.348,3.947189097,60.63,2.073,29.24746744
MPG,Ballouard et al.2017b,PONT-14-12,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,73.07,0.153,14.603,0.904,,,0.0126,0.22,0.51,3.404,4.452,0.44,,,,,,,,,1.29,99.0586,,1.29,0.71,1.40,,,,,,,,,,,272,,9.212,2.378,3.873843566,59.72,2.041,29.26016659
MPG,Ballouard et al.2017b,PONT-14-13,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms> ou = Bt,315,,71.88,0.179,14.793,1.1,,,0.0192,0.278,0.555,3.476,4.769,0.47,,,,,,,,,1.34,98.8592,,1.24,0.74,1.36,,,,,,,,,,,251,,7.522,2.444,3.077741408,69.92,2.211,31.62369968
MPG,Ballouard et al.2017b,PONT-14-17,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,72.84,0.235,15.058,1.572,,,0.0154,0.445,0.685,3.382,4.798,0.39,,,,,,,,,1.05,100.4704,,1.25,0.71,1.40,,,,,,,,,,,208,,6.892,1.327,5.193669932,101,3.142,32.14513049
MPG,Ballouard et al.2017b,PONT-14-28,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,73.04,0.211,14.56,1.369,,,0.0126,0.403,0.573,2.922,5.177,0.37,,,,,,,,,1.31,99.9476,,1.27,0.72,1.40,,,,,,,,,,,120,,5.543,0.95,5.834736842,82.25,2.556,32.17918623
