SPOT_ID,SAMPLE,LOCALITY,STYLE,IS,Li7,Al27,Si29,S33,Ca44,Sc45,Ti49,V51,Cr52,Cr53,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,Ga71,Ge72,As75,Rb85,Sr88,Y89,Zr90,Nb93,Mo97,In115,Sn119,Sn118,Sb121,Cs133,La139,Ce140,Nd143,Sm147,Eu151,Gd157,Tb159,Dy163,Er167,Hf178,Ta181,W183,Pb206,U238,Sn115,Li7_LOD,Al27_LOD,Si29_LOD,S33_LOD,Ca44_LOD,Sc45_LOD,Ti49_LOD,V51_LOD,Cr52_LOD,Cr53_LOD,Mn55_LOD,Fe57_LOD,Co59_LOD,Ni60_LOD,Cu65_LOD,Zn66_LOD,Ga71_LOD,Ge72_LOD,As75_LOD,Rb85_LOD,Sr88_LOD,Y89_LOD,Zr90_LOD,Nb93_LOD,Mo97_LOD,In115_LOD,Sn119_LOD,Sn118_LOD,Sb121_LOD,Cs133_LOD,La139_LOD,Ce140_LOD,Nd143_LOD,Sm147_LOD,Eu151_LOD,Gd157_LOD,Tb159_LOD,Dy163_LOD,Er167_LOD,Hf178_LOD,Ta181_LOD,W183_LOD,Pb206_LOD,U238_LOD,Sn115_LOD,Li7_Int2SE,Al27_Int2SE,Si29_Int2SE,S33_Int2SE,Ca44_Int2SE,Sc45_Int2SE,Ti49_Int2SE,V51_Int2SE,Cr52_Int2SE,Cr53_Int2SE,Mn55_Int2SE,Fe57_Int2SE,Co59_Int2SE,Ni60_Int2SE,Cu65_Int2SE,Zn66_Int2SE,Ga71_Int2SE,Ge72_Int2SE,As75_Int2SE,Rb85_Int2SE,Sr88_Int2SE,Y89_Int2SE,Zr90_Int2SE,Nb93_Int2SE,Mo97_Int2SE,In115_Int2SE,Sn119_Int2SE,Sn118_Int2SE,Sb121_Int2SE,Cs133_Int2SE,La139_Int2SE,Ce140_Int2SE,Nd143_Int2SE,Sm147_Int2SE,Eu151_Int2SE,Gd157_Int2SE,Tb159_Int2SE,Dy163_Int2SE,Er167_Int2SE,Hf178_Int2SE,Ta181_Int2SE,W183_Int2SE,Pb206_Int2SE,U238_Int2SE,Sn115_Int2SE
Bischoff_2a_P1,MB2,Mount Bischoff,Skarn,119Sn,<0.96,63.83,<2757.20,613.44,<39.14,102.19,150.3,4.86,<4.49,<4.64,<0.82,2030.97,8.46,63.14,<2.04,<0.69,73.52,<1.16,<0.73,0.038,0.0264,<0.0112,74.14,0.0275,<0.116,4026.43,787649.81,827938.75,3.69,0.0818,<0.0043,0.0508,<0.028,<0.0228,0.0084,2.152,0.412,<0.0130,<0.0134,3.82,0.0036,113.12,0.163,0.607,3615.57,0.961,3.2,2757.2,44.3,39.14,0.431,0.67,0.119,4.49,4.64,0.821,17.52,0.276,4.15,2.04,0.689,0.128,1.16,0.732,0.038,0.00719,0.0112,0.0239,0.0113,0.116,0.00618,0.26,0.154,0.031,0.00789,0.00429,<0.00000,0.0276,0.0228,<0.00000,0.0385,0.00329,0.013,0.0134,<0.00000,<0.00000,0.0592,0.0589,0.00337,0.00555,0.74,21.54,6383.3,83.08,31.42,15.48,22.64,0.74,6.6,3.66,0.7,299.98,1.5,14.14,1.56,0.58,7,0.9,0.58,0.032,0.0106,0.0084,5.5,0.013,0.092,275.72,49815.66,53445.64,0.32,0.014,0.004,0.0098,0.024,0.0196,0.0048,0.2,0.036,0.0102,0.0106,0.28,0.0024,7.48,0.058,0.052,224.98
Bischoff_2a_P2,MB2,Mount Bischoff,Skarn,119Sn,<0.97,180.81,<2683.02,617.39,<37.48,396.28,15.92,0.105,<4.19,<4.54,<0.78,6473.67,7.79,63.93,<1.99,<0.74,163.49,<1.05,<0.61,<0.048,<0.0134,<0.0134,97.06,<0.0105,<0.133,4040.02,787649.88,817313.56,18,0.0603,0.009,0.037,0.0238,<0.0213,<0.0065,2.51,0.415,<0.0121,<0.0177,3.97,<0.0052,963.31,1.037,4.3,3627.77,0.969,3.13,2683.02,41.45,37.48,0.42,0.627,0.0752,4.19,4.54,0.776,16.23,0.278,3.92,1.99,0.74,0.104,1.05,0.612,0.0479,0.0134,0.0134,0.0223,0.0105,0.133,0.0183,0.61,0.298,0.0355,0.00737,0.004,0.00384,<0.00000,0.0213,0.0065,<0.00000,0.00307,0.0121,0.0177,0.0218,0.00522,0.0451,0.0503,0.00314,0.0164,0.8,60.44,163636.46,83.14,37.4,60.42,2.78,0.066,4.98,3.52,0.62,958.18,1.4,14.32,1.54,0.56,15.52,0.82,0.48,0.036,0.0106,0.0104,7.2,0.007,0.102,276.92,49815.64,52778.1,1.4,0.0118,0.005,0.0086,0.016,0.0186,0.0052,0.22,0.036,0.0096,0.0126,0.3,0.0032,62.9,0.112,0.32,226
Bischoff_2a_P3,MB2,Mount Bischoff,Skarn,119Sn,<0.90,201.56,<2604.66,579.9,<35.79,430.38,13.09,<0.099,<4.18,<4.55,<0.76,6062.88,7.33,56.32,<2.04,<0.74,180,<1.08,<0.63,<0.032,<0.0156,<0.0140,116.55,0.0118,<0.138,4053.67,787649.81,808828.25,14.48,0.0412,<0.0042,0.0442,0.0163,<0.044,0.0021,2.49,0.433,<0.0218,0.0158,5.68,<0.0038,716.02,0.98,4.07,3640.03,0.903,3.19,2604.66,40.74,35.79,0.444,0.653,0.0988,4.18,4.55,0.758,16.32,0.263,4.07,2.04,0.737,0.117,1.08,0.632,0.0323,0.0156,0.014,0.019,<0.00000,0.138,0.0687,2.67,1.76,0.0501,0.00858,0.00417,0.004,<0.00000,0.0443,<0.00000,0.0305,0.00319,0.0218,<0.00000,0.0113,0.00384,0.0664,0.0497,0.00327,0.0617,0.7,67.22,33798.34,79.3,29.74,66.18,2.38,0.076,4.88,3.52,0.58,903.46,1.32,12.8,1.58,0.56,17.12,0.84,0.48,0.028,0.011,0.0112,8.66,0.0062,0.102,278.18,49815.64,52250.44,1.12,0.0108,0.0036,0.0094,0.0134,0.028,0.0024,0.22,0.038,0.0148,0.0092,0.4,0.003,46.8,0.11,0.3,227.06
Bischoff_2a_P4,MB2,Mount Bischoff,Skarn,119Sn,<1.00,177.75,<2660.52,533.06,<36.87,476.66,170.78,<0.110,<4.26,<4.77,<0.78,5163.66,8.33,55.33,<2.08,<0.86,189.44,<1.08,<0.63,<0.034,0.0151,<0.0066,147.27,0.0677,<0.146,4007.57,787649.81,801327,10.05,0.0497,<0.0044,0.034,0.0321,<0.0234,<0.0101,2.57,0.422,<0.0188,<0.0137,8.73,<0.0041,281.08,0.819,2.86,3598.64,0.998,3.3,2660.52,42.49,36.87,0.436,0.758,0.11,4.26,4.77,0.782,17.15,0.276,4.17,2.08,0.862,0.144,1.08,0.625,0.0342,0.0105,0.00661,0.0402,0.00821,0.146,0.0482,2.12,1.31,0.032,0.00575,0.00441,0.00734,<0.00000,0.0234,0.0101,0.0228,<0.00000,0.0188,0.0137,0.012,0.00406,0.0609,0.0464,0.00599,0.0433,0.76,59.18,151559.74,74.98,28.38,73.98,26.42,0.082,4.08,3.64,0.6,775.28,1.52,12.66,1.58,0.64,18.08,0.82,0.5,0.028,0.0104,0.0064,10.96,0.0166,0.094,275.36,49815.64,51788.06,0.8,0.0102,0.004,0.0096,0.0186,0.0164,0.0074,0.22,0.036,0.0152,0.0114,0.6,0.0032,18.44,0.098,0.22,224.78
Bischoff_2a_P5,MB2,Mount Bischoff,Skarn,119Sn,0.92,11.24,<2517.25,569.79,<36.00,38.64,1023.18,126.7,<4.16,<4.59,<0.77,550.65,7.09,49.45,<2.04,<0.88,13.29,<1.04,<0.66,<0.036,0.0224,0.0081,66.75,0.283,0.025,3962.93,787649.88,822125.88,0.864,0.0464,<0.0043,0.0274,<0.028,0.0068,<0.0070,2.4,0.476,<0.0131,<0.0135,2.9,0.00118,16.14,0.128,0.1045,3558.55,0.898,3.29,2517.25,41.4,36,0.44,0.61,0.0991,4.16,4.59,0.765,16.89,0.28,4.24,2.04,0.882,0.145,1.04,0.663,0.0362,0.0103,0.0065,0.0342,0.00808,<0.00000,0.0857,3.47,2.2,0.0417,0.004,0.00434,0.00417,0.0278,<0.00000,0.00703,<0.00000,<0.00000,0.0131,0.0135,0.0235,<0.00000,0.0691,0.0546,0.0068,0.077,0.74,4.54,30318.02,79.58,28.5,6.08,158.16,19.2,3.5,3.52,0.58,85.38,1.3,11.5,1.56,0.66,1.34,0.82,0.54,0.028,0.0114,0.0068,5,0.038,0.028,272.68,49815.66,53157.16,0.104,0.0096,0.0038,0.0076,0.022,0.0078,0.005,0.22,0.04,0.008,0.0124,0.22,0.00136,1.16,0.052,0.015,222.62
Bischoff_2a_P6,MB2,Mount Bischoff,Skarn,119Sn,<1.02,105.99,<2925.46,541.45,<38.05,38.72,120.34,0.752,<4.35,<4.70,9.13,2585.37,7.64,55.47,<2.25,<0.82,84.5,<1.13,<0.67,<0.039,0.0089,<0.0096,100.56,0.52,<0.087,3957.64,787649.81,820739.88,4.83,0.0475,0.0053,0.0413,0.033,<0.0241,0.0062,2.6,0.423,<0.0193,0.008,4.11,0.0047,9423.56,0.62,2.291,3553.8,1.02,3.43,2925.46,43.34,38.05,0.459,0.845,0.119,4.35,4.7,0.783,17.32,0.297,4.24,2.25,0.818,0.132,1.13,0.667,0.0391,0.00761,0.00962,0.0327,0.00846,0.0869,0.0411,2.09,1.39,0.0404,0.00418,0.00454,0.00872,<0.00000,0.0241,<0.00000,0.0234,<0.00000,0.0193,<0.00000,0.0174,<0.00000,0.0361,0.0543,0.00795,0.0369,0.8,35.24,70981.42,77.54,30.76,6.16,19.18,0.166,5.04,3.62,1.52,395.34,1.42,12.84,1.72,0.62,8.16,0.88,0.54,0.03,0.0078,0.008,7.54,0.058,0.084,272.7,49815.66,53094.56,0.4,0.0098,0.0046,0.011,0.0192,0.0148,0.0042,0.22,0.036,0.0148,0.0066,0.3,0.0028,615.04,0.086,0.176,222.7
Bischoff_2a_P7,MB2,Mount Bischoff,Skarn,119Sn,<1.03,114.83,<2863.95,587.68,<38.63,72.2,123.28,2.83,<4.41,<4.54,2.08,3235.14,7.11,52.48,<2.33,<0.83,129.14,<1.14,<0.67,<0.054,<0.0112,<0.0142,81.68,0.262,0.051,4019.6,787649.81,830159.31,4.64,0.0443,0.0054,0.0358,<0.0304,<0.044,0.0064,2.72,0.422,<0.0143,<0.0147,2.77,0.0036,4421,0.491,1.747,3609.43,1.03,3.45,2863.95,43.55,38.63,0.464,1,0.0869,4.41,4.54,0.817,17.58,0.315,4.46,2.33,0.826,0.147,1.14,0.667,0.0541,0.0112,0.0142,0.0341,<0.00000,<0.00000,0.0664,2.87,1.88,0.0422,0.00758,0.00474,0.00644,0.0304,0.0435,<0.00000,0.0346,0.00513,0.0143,0.0147,<0.00000,<0.00000,0.239,0.0655,0.00371,0.0597,0.84,38.1,22966.82,83.74,30.12,11.6,19.9,0.46,4.52,3.52,0.7,498.8,1.34,12.3,1.82,0.62,12.5,0.86,0.52,0.04,0.0094,0.0106,6.14,0.036,0.042,277.42,49815.66,53733.4,0.4,0.0106,0.0048,0.0094,0.0188,0.03,0.0044,0.24,0.038,0.01,0.0132,0.22,0.0024,288.7,0.084,0.138,226.6
Bischoff_2a_P8,MB2,Mount Bischoff,Skarn,119Sn,<0.89,14.8,4272.03,553.2,<31.89,98.99,215.97,41.79,<3.71,<3.95,0.98,637.06,8.18,55.87,<1.88,<0.58,15.33,<0.96,<0.63,<0.034,<0.0109,0.0185,126.82,0.382,<0.072,4114.51,787649.81,823402.06,0.993,0.0616,0.0029,0.0561,<0.034,<0.020,0.0061,2.54,0.44,<0.0195,0.0116,10.57,<0.0049,209.2,0.215,0.178,3694.66,0.887,2.89,2275.11,36.6,31.89,0.394,0.836,0.0806,3.71,3.95,0.688,15.52,0.238,3.57,1.88,0.585,0.105,0.962,0.633,0.0343,0.0109,0.0056,0.0295,0.00698,0.0718,0.0308,1.42,0.552,0.0236,0.00691,<0.00000,0.0036,0.034,0.0198,0.00606,0.0193,0.00286,0.0195,0.0116,0.0101,0.00486,0.0516,0.0448,0.00293,0.0277,0.84,5.7,259120.7,83.1,30.58,16.12,35.46,6.58,4.26,3.92,0.7,102.58,1.58,13.26,1.78,0.56,1.62,0.9,0.62,0.036,0.0118,0.0118,9.6,0.062,0.078,284.46,49816.04,53327.68,0.142,0.0166,0.0034,0.0152,0.02,0.022,0.0084,0.28,0.046,0.012,0.0162,0.78,0.0052,13.9,0.074,0.026,232.42
Bischoff_2a_P9,MB2,Mount Bischoff,Skarn,119Sn,<1.04,33.98,<2792.01,515.68,<39.09,566.49,5.46,0.305,<4.33,<4.94,<0.80,1136.77,6.54,57.28,<2.35,<0.87,37.46,<1.10,<0.76,<0.046,<0.0115,<0.0102,123.96,<0.0090,<0.131,4055.6,787649.81,834242.19,5.72,0.0414,<0.0068,0.029,0.0084,<0.00,0.0085,2.55,0.42,<0.0145,<0.0212,5.12,<0.00,186.85,0.236,0.993,3641.76,1.04,3.52,2792.01,42.69,39.09,0.462,0.683,0.113,4.33,4.94,0.799,19.2,0.326,4.26,2.35,0.866,0.162,1.1,0.763,0.0455,0.0115,0.0102,0.0348,0.00901,0.131,0.0955,3.58,2,0.0528,0.0141,0.00682,0.00656,<0.00000,<0.00000,<0.00000,0.0249,0.00522,0.0145,0.0212,<0.00000,<0.00000,0.0666,0.0473,<0.00000,0.0857,0.78,11.56,56420.4,76.48,32.62,93.06,1.32,0.11,4.18,3.74,0.62,180,1.26,13.46,1.8,0.64,3.7,0.84,0.58,0.034,0.008,0.0074,9.36,0.0062,0.08,280.88,49815.66,54063.44,0.48,0.0136,0.006,0.0088,0.0096,<0.00,0.005,0.22,0.036,0.0118,0.016,0.38,<0.00,12.32,0.056,0.082,229.54
Bischoff_2a_P10,MB2,Mount Bischoff,Skarn,119Sn,<1.05,68.38,<2726.88,560.96,<38.03,868.64,10.95,<0.133,<4.33,<4.74,<0.80,2049.75,7.28,50.74,<2.20,<0.78,55.1,<1.11,<0.65,<0.040,<0.0081,0.0121,141.52,<0.0128,<0.161,4039.17,787649.88,835637.69,11.86,0.0502,0.0108,0.0288,<0.031,<0.026,<0.0110,2.69,0.395,<0.00,<0.0150,7.09,<0.0044,328.8,0.495,1.986,3627.01,1.05,3.48,2726.88,42.85,38.03,0.48,0.837,0.133,4.33,4.74,0.805,18.76,0.292,4.51,2.2,0.781,0.14,1.11,0.654,0.0405,0.0081,<0.00000,0.0561,0.0128,0.161,0.0852,3.26,2.24,0.0305,0.00773,<0.00000,0.00656,0.031,0.0255,0.011,<0.00000,0.00369,<0.00000,0.015,0.013,0.00443,0.0384,0.0546,0.00378,0.0765,0.8,22.7,73988.64,82.96,29.34,144.56,2.24,0.098,4.34,3.62,0.64,326.26,1.4,12.16,1.74,0.62,5.44,0.86,0.5,0.03,0.0068,0.0058,10.72,0.0088,0.108,280.26,49815.68,54190.08,0.94,0.0114,0.0044,0.0088,0.022,0.024,0.0076,0.24,0.036,<0.00,0.0104,0.5,0.003,21.6,0.08,0.158,229.12
