Sample ID,SAMPLE,STYLE,Spot ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Y_ppm_m89,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD
#169537,Siffleetes Reward,Pegmatite,WG03-055,119Sn,16.64,0.704,239.51,17.41,649.87,362.75,722.05,372827.97,-,0.237,2.141,0.06,0.161,0.116,0.002,0.336,0.063,0.139,0.492,0.015,0.034,0.007,0.094,0.009,120.6,2825.28,0.803,2.465,0.031,0.376,3.43,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-060,119Sn,11.87,1.62,260.83,118.14,1566.96,768.69,2122.76,600664.81,-,0.002,0.007,0.002,0.015,0.013,0.003,0.33,0.063,0.016,0.12,0.003,0.012,0.005,0.094,0.018,256.04,8387.56,1.79,0.008,0.004,0.002,1.768,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-065,119Sn,14.91,1.164,288.82,105.69,1646.4,807.67,2120.35,718007.06,-,0.004,0.01,0.004,0.014,0.008,0.002,0.456,0.073,0.013,0.146,0.006,0.012,0.004,0.097,0.02,262.41,7946.11,1.612,0.01,0.002,0.002,2.174,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-070,119Sn,20.76,1.08,323.83,52.61,924.62,823.97,1252.89,1012840.38,-,0.048,0.01,0.004,0.013,0.033,0.008,0.559,0.104,0.014,0.07,0.002,0.011,0.003,0.025,0.013,273.68,4414.51,0.779,0.041,0.006,0.003,1.19,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-075,119Sn,18.78,0.829,336.73,67.08,1326.51,783.68,1705.35,926824,-,0.004,0.011,0.004,0.021,0.016,0.006,0.569,0.089,0.008,0.085,0.004,0.022,0.003,0.074,0.01,248.14,5738.86,1.099,0.064,0.005,0.004,1.728,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-079,119Sn,13.81,1.68,361.23,195.67,2937.62,850.81,4595.28,651445.75,-,0.004,0.006,0.003,0.012,0.009,0.004,0.362,0.064,0.037,0.225,0.004,0.021,0.01,0.135,0.026,239.93,12448.9,5.75,0.008,0.06,0.002,4.2,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-085,119Sn,11.44,1.64,355.71,248.47,3497.83,823.87,4787.46,538131.69,-,0.002,0.003,0.002,0.012,0.009,0.004,0.3,0.054,0.022,0.274,0.002,0.022,0.012,0.163,0.029,250.76,15980.51,6.12,0.006,0.004,0.003,5.89,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-089,119Sn,16.81,2.01,451.73,264.81,3927.39,1092.87,5464.21,784674.13,-,0.023,0.076,0.014,0.029,0.014,0.006,0.495,0.08,0.044,0.312,0.008,0.027,0.007,0.152,0.031,329.68,17922.89,5.86,0.132,0.005,0.019,6.63,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-092,119Sn,13.57,2.36,434.87,290.15,4339.28,966.52,6150.69,630892,-,0.019,0.043,0.007,0.035,0.012,0.039,0.31,0.067,0.05,0.368,0.01,0.043,0.01,0.214,0.036,277.53,18805.79,8.6,0.037,0.004,0.003,7.63,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169537,Siffleetes Reward,Pegmatite,WG03-097,119Sn,11.49,1.81,368.87,260.02,3906.41,863.33,5979.82,556434.56,-,0.002,0.005,0.008,0.009,0.01,0.004,0.292,0.064,0.029,0.308,0.009,0.021,0.014,0.201,0.041,238.49,16598.54,9.12,0.005,0.004,0.002,6.68,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
