Sample ID,SAMPLE,LOCALITY,STYLE,SPOT_ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Y_ppm_m89,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca44_ERR,Sc45_ERR,Ti49_ERR,Mn55_ERR,Fe57_ERR,Y89_ERR,Zr90_ERR,Nb93_ERR,Sn119_ERR,Sb121_ERR,La139_ERR,Ce140_ERR,Pr141_ERR,Nd143_ERR,Sm147_ERR,Eu151_ERR,Gd157_ERR,Tb159_ERR,Dy161_ERR,Ho165_ERR,Er167_ERR,Tm169_ERR,Yb171_ERR,Lu175_ERR,Hf178_ERR,Ta181_ERR,W183_ERR,Pb208_ERR,Bi209_ERR,Th232_ERR,U238_ERR,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD,Ca44_CPS,Sc45_CPS,Ti49_CPS,Mn55_CPS,Fe57_CPS,Y89_CPS,Zr90_CPS,Nb93_CPS,Sn119_CPS,Sb121_CPS,La139_CPS,Ce140_CPS,Pr141_CPS,Nd143_CPS,Sm147_CPS,Eu151_CPS,Gd157_CPS,Tb159_CPS,Dy161_CPS,Ho165_CPS,Er167_CPS,Tm169_CPS,Yb171_CPS,Lu175_CPS,Hf178_CPS,Ta181_CPS,W183_CPS,Pb208_CPS,Bi209_CPS,Th232_CPS,U238_CPS
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-055,119Sn,16.64,0.704,239.51,17.41,649.87,0.492,362.75,722.05,372827.97,,0.237,2.141,0.0596,0.161,0.1161,<0.00212,0.336,0.0633,0.139,0.015,0.0339,0.00658,0.0938,0.0088,120.6,2825.28,0.803,2.465,0.0311,0.376,3.43,3.89,0.05,18.76,1.69,67.03,0.032,23.67,46.37,22962.89,,0.012,0.092,0.0036,0.014,0.0098,0.00094,0.021,0.0033,0.01,0.0014,0.0041,0.00094,0.0092,0.0012,3.81,89.35,0.038,0.093,0.0025,0.016,0.13,7.85,0.0303,0.11,0.0691,2.76,0.00402,0.0101,0.00095,0.0546,,0.00091,0.00105,0.00125,0.00785,0.00287,0.00212,0.0162,<0.00000,0.00546,0.00096,0.00202,0.00102,0.00666,0.00143,0.00252,0.00114,0.0101,0.00472,0.0011,0.00096,0.00208,1347,2871,52078,72005,51976,2788,993394,3256895,238457472,,1566,13735,431,138,121,1,359,442,171,94,50,43,84,52,203706,15007914,587,5896,120,1678,15685
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-060,119Sn,<11.87,1.62,260.83,118.14,1566.96,0.1203,768.69,2122.76,600664.81,,0.00173,0.0067,<0.00170,<0.0153,<0.0132,0.0033,0.33,0.0634,0.0164,0.0027,0.0122,0.0046,0.094,0.018,256.04,8387.56,1.79,0.0079,<0.0041,<0.0023,1.768,12.63,0.11,20.44,11.43,161.58,0.0092,50.16,136.31,36995.51,,0.00073,0.0013,0.00081,0.0059,0.0046,0.0013,0.026,0.0038,0.0049,0.001,0.0043,0.0011,0.012,0.002,8.08,265.24,0.078,0.0032,0.0016,0.0012,0.07,11.87,0.0463,0.175,0.103,4.51,0.00623,0.016,0.00325,0.0801,,0.00122,0.00162,0.0017,0.0153,0.0132,0.00188,0.03,<0.00000,0.00751,0.00181,0.00759,0.00157,0.0102,0.00206,0.00614,0.00123,<0.00000,0.00613,0.00413,0.00232,0.00176,0,4208,36065,310635,79698,433,1338686,6089001,244311664,,7,27,4,0,0,7,224,281,12,10,11,19,54,68,275023,28333718,832,11,0,5,5142
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-065,119Sn,<14.91,1.164,288.82,105.69,1646.4,0.146,807.67,2120.35,718007.06,,0.00365,0.0104,0.0036,<0.0135,<0.0078,<0.0024,0.456,0.0733,<0.0133,0.0064,<0.0117,0.00389,0.097,0.02,262.41,7946.11,1.612,0.0099,<0.00212,<0.00226,2.174,20.86,0.084,22.63,10.23,169.79,0.011,52.7,136.16,44222.77,,0.00085,0.0015,0.0011,0.0065,0.004,0.0011,0.035,0.0045,0.0064,0.0012,0.0053,0.00094,0.013,0.0023,8.28,251.29,0.075,0.0042,0.00065,0.00097,0.087,14.91,0.0577,0.229,0.127,5.36,0.00815,0.0208,<0.00000,0.103,,<0.00000,<0.00000,0.0018,0.0135,0.00784,0.00236,0.0417,0.00204,0.0133,0.00093,0.0117,0.00088,0.0144,0.00195,0.00487,0.0432,0.0112,0.00843,0.00212,0.00226,0.00311,0,2461,32549,226504,68252,429,1146428,4957242,238027936,,12,34,13,3,2,1,253,265,6,20,4,13,45,61,229735,21878104,611,12,0,0,5156
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-070,119Sn,<20.76,1.08,323.83,52.61,924.62,0.0703,823.97,1252.89,1012840.38,,<0.048,0.0101,0.0041,<0.0134,0.0329,<0.0081,0.559,0.1036,0.014,<0.00183,<0.0109,0.0032,<0.025,0.0129,273.68,4414.51,0.779,0.0405,<0.0055,<0.0032,1.19,27.62,0.083,25.39,5.09,95.46,0.008,53.77,80.46,62382.2,,0.037,0.0018,0.0016,0.0068,0.0087,0.0032,0.044,0.0063,0.0052,0.00099,0.0055,0.0014,0.012,0.0025,8.64,139.61,0.052,0.0077,0.0025,0.0017,0.05,20.76,0.0796,0.319,0.175,7.47,0.0116,0.0284,0.00509,0.151,,0.0484,0.00179,0.00297,0.0134,0.0109,0.00807,0.0542,0.00285,0.00658,0.00183,0.0109,0.00247,0.0254,0.00385,0.0108,0.00432,0.0314,0.0127,0.00553,0.00315,0.00308,0,1636,26140,80763,27455,147,837736,2098119,240505136,,0,24,10,2,12,0,222,268,6,3,4,7,5,28,171625,8706053,211,35,3,5,2021
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-075,119Sn,<18.78,0.829,336.73,67.08,1326.51,0.0854,783.68,1705.35,926824,,<0.0037,0.0114,0.0042,<0.0208,<0.0155,<0.0055,0.569,0.0886,<0.0084,0.0035,0.022,<0.0029,0.074,0.0103,248.14,5738.86,1.099,<0.064,<0.0053,<0.0037,1.728,25.35,0.066,26.39,6.49,136.85,0.0082,51.14,109.51,57084.16,,0.0016,0.0017,0.0012,0.0083,0.0057,0.0022,0.042,0.0054,0.0033,0.0012,0.0059,0.0015,0.013,0.002,7.83,181.49,0.062,0.027,0.0023,0.0016,0.07,18.78,0.0749,0.249,0.159,6.74,0.00947,0.0256,0.00229,0.119,,0.00367,<0.00000,0.00175,0.0208,0.0155,0.00554,0.0457,<0.00000,0.00836,0.00164,0.00845,0.00293,0.0161,0.00274,0.0114,0.00514,0.0316,0.0642,0.00531,0.00366,0.00357,0,1397,30244,114579,43826,199,886521,3177507,244871040,,2,30,12,0,0,0,251,255,0,9,13,7,27,25,173137,12592776,332,0,2,1,3265
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-079,119Sn,<13.81,1.68,361.23,195.67,2937.62,0.225,850.81,4595.28,651445.75,,0.00363,0.0063,0.0034,0.0115,<0.0088,<0.0040,0.362,0.0644,0.0366,0.0041,0.0214,0.01,0.135,0.026,239.93,12448.9,5.75,<0.0080,<0.060,<0.00207,4.2,19.69,0.12,28.3,18.94,302.87,0.016,55.52,295.08,40123.13,,0.00088,0.0013,0.0011,0.0054,0.0038,0.0016,0.029,0.004,0.0075,0.0013,0.0049,0.0016,0.015,0.0027,7.57,393.68,0.22,0.0039,0.039,0.00095,0.16,13.81,0.0535,0.211,0.114,5.04,0.0083,0.0166,0.00289,0.0841,,0.00081,0.00166,0.0018,0.00877,0.00879,0.00404,0.0366,0.00132,0.0106,0.00224,0.00617,0.00214,0.0118,0.00268,0.00546,0.00142,<0.00000,0.00803,0.0605,0.00207,0.00285,0,3879,44452,457879,132974,723,1318660,11730966,235812128,,13,22,13,5,0,0,219,254,25,14,18,37,68,87,229357,37426132,2380,10,0,1,10874
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-085,119Sn,<11.44,1.64,355.71,248.47,3497.83,0.274,823.87,4787.46,538131.69,,0.002,0.00342,<0.00162,<0.0116,<0.0085,<0.0036,0.3,0.0539,0.0215,<0.0022,0.0222,0.012,0.163,0.0292,250.76,15980.51,6.12,<0.0062,0.0038,<0.0028,5.89,14.14,0.11,27.86,24.05,360.6,0.019,53.76,307.42,33143.99,,0.00098,0.00079,0.0008,0.0043,0.004,0.0016,0.024,0.0034,0.006,0.0011,0.0046,0.0015,0.015,0.0024,7.91,505.35,0.22,0.0024,0.00099,0.0011,0.23,11.44,0.045,0.187,0.0975,4.16,0.00701,0.0143,0.00279,0.0828,,0.0019,0.00069,0.00162,0.0116,0.00846,0.0036,0.029,0.0009,0.0102,0.00223,0.00594,0.00135,0.0085,0.00105,0.00263,0.00167,<0.00000,0.00616,<0.00000,0.00282,0.00217,0,4451,51335,681903,185688,1031,1497522,14333138,228450032,,8,14,5,0,2,2,213,249,17,7,22,52,97,115,281132,56344196,2972,0,9,0,17874
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-089,119Sn,<16.81,2.01,451.73,264.81,3927.39,0.312,1092.87,5464.21,784674.13,,0.0225,0.0755,0.014,0.029,<0.0141,<0.0063,0.495,0.0796,0.0444,0.0076,0.0274,0.0069,0.152,0.0312,329.68,17922.89,5.86,0.132,<0.0045,0.0185,6.63,18.35,0.14,35.39,25.63,404.9,0.022,71.31,350.88,48328.77,,0.0025,0.0052,0.0018,0.011,0.0057,0.0027,0.037,0.005,0.0073,0.0018,0.0061,0.0017,0.019,0.003,10.4,566.78,0.22,0.011,0.0021,0.0029,0.26,16.81,0.067,0.262,0.139,5.98,0.00865,0.022,0.00415,0.112,,0.00173,0.00103,<0.00000,0.0204,0.0141,0.00629,0.0423,0.0025,<0.00000,0.00297,0.00765,0.00284,0.0219,0.00222,0.0104,0.00352,<0.00000,0.00829,0.0045,0.00331,0.00354,0,3747,44805,499458,143290,807,1365242,11243195,228937824,,67,220,46,11,0,1,241,253,24,21,18,20,62,84,254023,43430236,1953,143,4,37,13843
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-092,119Sn,<13.57,2.36,434.87,290.15,4339.28,0.368,966.52,6150.69,630892,,0.0188,0.0432,0.0065,0.035,<0.0123,<0.039,0.31,0.0672,0.05,0.0099,0.0429,0.0096,0.214,0.0359,277.53,18805.79,8.6,0.037,<0.0038,<0.0031,7.63,12.45,0.16,34.06,28.08,447.34,0.025,63.07,394.96,38857.18,,0.0021,0.0034,0.0014,0.0083,0.0061,0.018,0.027,0.0041,0.0085,0.0016,0.0066,0.0016,0.019,0.0029,8.76,594.7,0.31,0.0047,0.0019,0.0013,0.3,13.57,0.0539,0.306,0.113,4.94,0.0076,0.0179,0.00233,0.0871,,0.00159,0.00142,0.0023,0.0106,0.0123,0.039,0.0368,0.00131,0.0113,0.00167,0.00704,0.00211,0.0142,0.00153,0.00763,0.0014,0.0102,0.00381,0.00383,0.00312,0.0023,0,5404,52959,671943,194387,1166,1482477,15539039,226006784,,69,155,26,16,5,0,185,263,34,34,35,35,108,119,262562,55951796,3522,49,6,0,19561
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-097,119Sn,<11.49,1.81,368.87,260.02,3906.41,0.308,863.33,5979.82,556434.56,,0.00242,0.00466,<0.0081,<0.0089,<0.0103,<0.0036,0.292,0.0644,0.0291,0.0087,0.0209,0.0136,0.201,0.0405,238.49,16598.54,9.12,<0.0052,<0.0038,<0.00221,6.68,15.47,0.13,28.89,25.16,402.71,0.021,56.34,383.99,34271.28,,0.00079,0.00087,0.0031,0.0044,0.0044,0.0014,0.024,0.0038,0.005,0.0014,0.0055,0.0015,0.017,0.003,7.52,524.9,0.33,0.0017,0.0014,0.00087,0.26,11.49,0.0456,0.195,0.0958,4.25,0.00621,0.0167,0.00195,0.0735,,0.00115,<0.00000,0.00809,0.00888,0.0103,0.00357,0.0285,0.00109,<0.00000,0.00157,0.0093,<0.00000,0.00972,0.00165,0.00369,0.00562,<0.00000,0.0052,0.00376,0.00221,0.00255,0,4845,52560,704538,204749,1143,1549349,17675962,233224912,,10,19,0,2,0,0,204,294,23,35,20,58,119,158,263990,57781208,4370,0,0,0,20025
